	Segment ID	Source Segment	Segment Origin	Ref	Ref_rating	MT_Z	MT_Z_rating	MT_Y	MT_Y_rating
0	1	Cleveland police branded 'failing' in all areas by inspectors	b	클리블랜드 경찰, 검사관 평가 결과 전체 분야에서 ‘결함’	1	클리블랜드 경찰은 모든 분야에서 검사관들에 의해 '실패'라는 낙인을 찍었다.	2	클리블랜드 경찰은 조사관들에 의해 모든 지역에서 '실패'로 낙인찍혔다.	2
1	2	"Scandal-hit Cleveland police has become the first force to be branded ""failing"" in all areas by inspectors."	b	추문으로 얼룩진 영국 클리블랜드 경찰이 전 분야에서 검사관들에게 ‘결함’ 판정을 받은 최초의 경찰기관이 되었다.	2	"스캔들로 타격을 입은 클리블랜드 경찰은 모든 지역에서 검사관들에 의해 ""실패""라는 낙인이 찍힌 최초의 세력이 되었다."	3	"스캔들로 얼룩진 클리블랜드 경찰은 수사관들에 의해 모든 분야에서 ""실패""로 낙인찍힌 첫 번째 세력이 되었다."	1
2	3	It has been rated inadequate overall and in three key areas by Her Majesty's Inspectorate of Constabulary and Fire and Rescue Services (HMICFRS), which scrutinised its ability to reduce crime and keep people safe, operate efficiently, as well as the way it treats the public and its workforce.	b	영국 경찰, 소방 및 구조 활동 감시단이 범죄 예방 및 국민 안전 보장, 업무 효율성, 대중 및 동료에 대한 태도 등의 분야에서 면밀히 평가한 결과, 클리블랜드 경찰이 일반 분야와 핵심 3개 분야에서 부적합 판정을 받았다.	1	그것은 범죄를 줄이고 사람들을 안전하게 지키고 효율적으로 운영하며, 대중과 그 노동력을 다루는 방식을 면밀히 조사한 HMICFRS(Her Majest's Inspectorate of Constitution and Fire and Rescue Services)에 의해 전반적으로 그리고 세 가지 핵심 분야에서 불충분하다고 평가되어 왔다.	2	HMICFRS는 범죄를 줄이고 사람들을 안전하게 유지하며 효율적으로 운영할 수 있는 능력과 일반 대중과 노동자들을 대하는 방식을 면밀히 조사한 결과, 전반적으로 그리고 세 가지 주요 영역에서 부적절하다는 평가를 받았습니다.	3
3	4	"The findings mean the force is effectively plunged into special measures, where the chief constable and police and crime commissioner are called before a national board and questioned about their plans to ensure ""critical improvements"" are made."	b	이번 결과는 해당 경찰기관에 대한 효과적인 특별 조치를 취할 것임을 의미한다. 이는 경찰서장과 자치경찰청장을 국가위원회에 소환하여 이 상황을 ‘대폭 개선할’ 계획에 대한 청문회를 연다는 뜻이다.	1	"이번 조사 결과는 이 부대가 사실상 특별 조치에 빠져들게 된다는 것을 의미하며, 이 조치는 경찰청장과 경찰, 범죄청장이 국가 위원회에 소집되어 ""중대한 개선""을 보장하기 위한 그들의 계획에 대해 의문을 제기한다."	3	이번 조사 결과는 경찰청장이 국가 이사회에 불려가 '중대한 개선'을 위한 계획에 대해 질의하는 등 사실상 특단의 조치가 취해졌다는 것을 의미한다.	2
4	5	The home secretary could then step in to tackle the problem if no progress is made.	b	진전이 없을 경우에는 내무장관이 직접 문제 해결에 개입할 수도 있다.	1	그리고 나서 내무장관은 진전이 없다면 그 문제를 해결하기 위해 개입할 수 있다.	1	진척이 없으면 내무장관이 나서서 문제를 해결할 수도 있다.	2
5	6	A string of scandals has plagued the force, covering Hartlepool, Redcar and Cleveland, Stockton and Middlesbrough in the north east of England.	b	잉글랜드 북동부의 하트풀, 레드카, 클리블랜드, 스톡턴, 미들즈브러를 관할하는 경찰기관에서 추문이 잇달아 터지고 있다.	1	영국 북동부의 하틀풀, 레드카, 클리블랜드, 스톡턴, 미들즈브러를 포함한 일련의 스캔들이 그 세력을 괴롭혔다.	3	하틀풀, 레드카, 클리블랜드, 스톡턴, 미들즈브러 등 잉글랜드 북동부 지역에서 발생한 일련의 스캔들이 이 세력을 괴롭히고 있다.	2
6	7	It has seen six chief constables in almost as many years.	b	거의 몇 년간 경찰서장이 6번 교체되었다.	1	그것은 거의 여러 해 동안 6명의 최고 경감을 보았다.	3	거의 몇 년 동안 6명의 경찰서장이 근무했다.	2
7	8	"Former chief constable Sean Price was sacked for gross misconduct in 2012; seven officers were under investigation after journalists"" phones were unlawfully monitored, and there have been long-standing claims of racism within the ranks."	b	션 프라이스 전 경찰서장은 2012년 중대한 위법행위로 해임되었다. 이 사건에서 7명의 경찰관이 기자들의 통화를 불법 도청한 혐의로 수사를 받았고, 서내 인종차별 사건이 끊이지 않고 있다.	1	"숀 프라이스 전 경감은 2012년 심각한 위법행위로 해고되었다. 언론인""전화가 불법적으로 감시된 후 7명의 장교들이 조사를 받고 있었고, 그 계급 내에서 오랫동안 인종차별에 대한 주장이 있었다."	2	숀 프라이스 전 경찰청장은 2012년 총체적 위법행위로 해임됐다. 언론인들의 휴대폰이 불법 감시를 받은 후 7명의 경찰관이 조사를 받았다.	3
8	9	"Work practices were recently described by the chief inspector of constabulary as being about as ""inefficient as you can possibly imagine,"" with officers having to share laptops and bodyworn cameras."	b	최근 해당 경찰대 경감은 경찰의 직무 수행에 대해 거의 “당신이 상상하는 만큼 비효율적이라며, 경찰들이 노트북과 바디카메라를 공유하는 지경이라고 설명했다.	1	"최근 경찰청장은 경찰관들이 노트북과 신체에 손상된 카메라를 공유해야 하는 등 ""상상할 수 있는 한 비효율적""이라고 묘사했다."	2	"최근 경찰서장은 경찰들이 노트북과 보디 마모된 카메라를 공유해야 하는 등 ""상상할 수 있는 만큼 비효율적인 작업""이라고 설명했다."	2
9	10	"HM Inspector of Constabulary Phil Gormley said it was a ""failing force"" where there had been ""significant"" deterioration in the last two years."	b	HMICFRS의 필 곰레이 감찰관은 클리블랜드 경찰에 대해 최근 2년 사이에 “심각하게” 타락한 “실패한 경찰”이라고 말했다.	1	"필 고믈리 HM 조사관은 지난 2년 동안 ""중대한"" 악화가 있었던 ""실패한 힘""이라고 말했다."	2	"필 고멀리 경찰서 HM 조사관은 지난 2년간 ""중대한"" 악화가 있었던 곳은 ""실패한 세력""이라고 말했다."	3
