	Segment ID	Source Segment	Segment Origin	Ref	Ref_rating	MT_Z	MT_Z_rating	MT_Y	MT_Y_rating
0	1	Man set alight on doorstep 'in targeted attack'	b	한 남성이 표적 범죄로 문 앞에서 불에 휩싸여	3	남자가 문간에 불을 붙였다. '목표 공격'	1	'목표된 공격'에 불을 지른 남자	2
1	2	A man has been set alight on his doorstep in what police believe is a targeted attack.	b	한 남성이 몸에 불이 붙은 채 문앞 계단에 놓여 있었다. 경찰은 표적 범죄에 가능성을 두고 있다.	2	한 남자가 경찰이 표적 공격이라고 믿는 곳에서 그의 문간에 불을 질렀다.	1	경찰이 표적 공격이라고 보고 있는 한 남자가 그의 집 앞에 불을 붙였다.	2
2	3	The 48-year-old was soaked in flammable liquid, believed to be petrol, before bursting into flames outside his home in Skelmersdale, West Lancashire.	b	48세의 이 피해자 남성은 미국 웨스트 랭커셔의 스켈머스데일에 위치한 자신의 집 밖에서 불길에 휩싸이기 직전에 몸에 휘발유로 추정되는 인화성 액체가 뒤덮여 있었다.	1	48세의 이 여성은 휘발유로 추정되는 가연성 액체에 흠뻑 젖은 뒤 웨스트 랭커셔 주 스켈머스데일에 있는 자신의 집 밖에서 불길에 휩싸였다.	2	48세의 노인은 웨스트 랭커셔의 스켈머스데일에 있는 자택 밖에서 불길에 휩싸이기 전에 휘발유로 추정되는 인화성 액체에 흠뻑 젖었다.	2
3	4	He is in hospital in a critical but stable condition after suffering serious burns.	b	이 남성은 심각한 화상을 입은 뒤 심각했지만 현재 안정된 상태로 병원에 입원 중이다.	2	그는 심각한 화상을 입은 후 위독하지만 안정된 상태로 병원에 입원해 있다.	1	그는 심각한 화상을 입은 후 위독하지만 안정된 상태로 병원에 있다.	1
4	5	Police have launched an attempted murder inquiry after they were called to the man's house at about 1am on Thursday.	b	경찰은 목요일 새벽 1시경 현장에 출동하였고, 해당 살인 미수 사건에 대한 조사에 착수했다.	1	경찰은 17일 새벽 1시경 이 남성의 집으로 불려간 뒤 살인미수 조사에 착수했다.	3	경찰은 목요일 오전 1시경 A씨의 집으로 출동한 후 살인 미수에 나섰다.	2
5	6	"Detective Chief Inspector Pauline Stables, leading the investigation, said: ""This is a horrific incident which has left a man in a very poorly condition in hospital."	b	수사를 진두지휘하고 있는 폴린 스테이블스 형사과장은 “한 사람을 그렇게 위험한 상태로 병원에 입원하게 만든 아주 끔찍한 사건이다”라고 말했다.	1	"수사를 주도하고 있는 폴린 스테이블스 형사과장은 ""이번 사건은 한 남성을 병원에 입원하게 한 끔찍한 사건이다."	2	"수사를 지휘하고 있는 폴린 스태블스 경감은 ""이것은 한 남성이 병원에 있는 상태가 매우 좋지 않은 끔찍한 사건이다."	3
6	7	We are carrying out a number of enquiries to try to identify those responsible.	b	우리는 범인을 찾기 위해 여러 조사를 진행하고 있다.”	2	"""우리는 책임자들을 확인하기 위해 여러 가지 조사를 하고 있다."	1	"""우리는 책임자를 파악하기 위해 여러 가지 조사를 수행하고 있습니다."	1
7	8	While we are trying to establish a motive for what has happened, we do believe that the incident was targeted and I would like to stress that I don't believe there is any threat to the wider community at this time.	b	“사건의 범행 동기를 찾으려고 노력 중이지만, 우리는 이번 사건을 표적 범죄로 보고 있고, 현재로서는 더 넓은 지역에까지 위험이 존재하지는 않을 것으로 본다”	2	"""우리가 일어난 일에 대한 동기를 확립하려고 노력하는 동안, 우리는 그 사건이 표적이 되었다고 믿고 있으며, 나는 이 시기에 더 넓은 지역사회에 어떠한 위협도 없다고 믿고 있다는 것을 강조하고 싶다."	1	"그는 ""우리는 이번 사건의 동기를 밝히기 위해 노력하고 있지만 이번 사건이 목표가 된 것으로 보고 있으며, 현재로서는 더 넓은 지역사회에 위협이 되지 않는다고 믿고 있다""고 강조했다."	2
8	9	Someone out there knows who has done this and I would urge them to come forward and speak to us.	b	“혹시 범인을 알고 있는 분은 우리에게 꼭 연락을 해주길 바란다”	1	"""저 밖에 있는 누군가가 누가 이런 짓을 했는지 알고 있고 나는 그들이 나서서 우리에게 말을 걸 것을 촉구할 것이다."	2	"""누가 이런 짓을 저질렀는지 아는 사람이 있을 것이고, 저는 그들이 나서서 우리에게 말하라고 촉구할 것입니다."	3
9	10	Has a loved one come home acting suspiciously, smelling of smoke or petrol or with unexplained injuries?	b	“사랑하는 사람이 집에 와서 수상한 행동을 하거나, 몸에서 담배나 기름 냄새가 난다든가, 없던 상처가 발견되는가?”	1	"""사랑하는 사람이 의심스럽게 행동하거나, 연기나 휘발유 냄새를 맡거나, 설명할 수 없는 부상을 입고 집에 오는가?"	2	"""사랑하는 사람이 연기나 휘발유 냄새를 맡거나 설명할 수 없는 부상을 입고 의심스러운 행동을 하면서 집에 왔나요?"	2
10	11	We need to find the people responsible for this dreadful crime.	b	“이런 끔찍한 범죄를 저지른 범인을 꼭 찾아야 한다.”	2	"""우리는 이 끔찍한 범죄에 책임이 있는 사람들을 찾아야 해."""	1	"""우리는 이 끔찍한 범죄에 책임이 있는 사람들을 찾아야 합니다."""	1
11	12	US deaths could result in Scottish ban on vaping and e-cigarette ads	a	미국 내 사망 사건의 여파로 스코틀랜드, 베이핑 및 전자담배 광고 금지해	2	미국의 죽음은 스코틀랜드의 vaping과 전자담배 광고 금지로 이어질 수 있다.	1	미국의 죽음은 스코틀랜드의 베이핑과 전자담배 광고 금지를 초래할 수 있다.	1
12	13	A BAN on advertising for e-cigarettes and vaping products, is being considered by ministers.	a	정부 부처에서 전자담배 및 베이핑에 대한 광고 금지를 고려하고 있다.	2	전자담배와 전자담배 제품 광고에 관한 BAN이 장관들에 의해 고려되고 있다.	3	장관들은 전자담배와 베이핑 제품에 대한 광고 금지를 고려하고 있다.	1
13	14	"The First Minister has confirmed that a consultation on the move would take place in ""the coming months."""	a	여당 대표는 해당 조치에 대한 논의가 “향후 수개월” 내에 진행될 것이라 밝혔다.	2	"초대 장관은 ""앞으로 몇 달 안에 이 같은 움직임에 대한 협의가 이뤄질 것""이라고 확인했다."""	2	"제1장관은 이 움직임에 대한 협의가 ""앞으로 몇 달 안에"" 이루어질 것이라고 확인했습니다."	1
14	15	"Nicola Sturgeon says that if evidence supports further moves over the sale of such products her Government would ""not hesitate"" to act."	a	니컬라 스터전 대표는 이 제품들의 판매 추이에 대한 정보가 입수되면 스코틀랜드 정부가 “망설임 없이” 행동할 것이라고 말했다.	1	니콜라 스터건은 만약 증거가 그러한 제품의 판매에 대한 추가적인 움직임을 뒷받침한다면, 그녀의 정부는 행동하기를 주저하지 않을 것이라고 말한다.	1	니콜라 스터전은 이러한 제품의 판매에 대한 추가적인 움직임을 뒷받침하는 증거가 있다면, 정부는 조치를 주저하지 않을 것이라고 말했습니다.	1
