	Segment ID	Source Segment	Segment Origin	Ref	Ref_rating	MT_Z	MT_Z_rating	MT_Y	MT_Y_rating
0	1	The Next Big Labor Strike Hits Oregon	origin	오리건주 강타한 대규모 노동자 파업	1	다음 번 대규모 노동 파업이 오리건 주를 강타하다	2	오리건주, 대규모 노동파업 발생	2
1	2	"The state university workers"" most pressing complaints center on low wages and a lack of dignity at work."	origin	이 주립대학교 직원들의 가장 큰 불만은 저임금과 일터에서의 존엄성 부재 문제이다.	1	"주립대 근로자들""가장 긴급한 불만은 낮은 임금과 직장에서의 존엄성 부족에 초점을 맞추고 있다."	3	"""주립 대학 노동자들""이 가장 압박하는 불만사항은 낮은 임금과 직장에서의 품위 부족에 집중되어 있다."	2
2	3	The pay disparities alone are shocking. 	origin	임금 격차만 놓고 봐도 충격적이다.	1	임금 격차만 해도 충격적이다.	1	임금 격차만으로도 충격적이다.	2
3	4	About half of these workers earn less than $40,000 per year (and hundreds make less than $25,000). 	origin	이들 중 절반 가량은 연봉이 4만 달러 조차 되지 않는다. (그리고 몇 백 명은 25,000달러도 안 된다.)	1	이들 근로자의 약 절반은 연간 4만 달러 미만의 수입을 올리고 있다(그리고 수백 명은 2만 5천 달러 미만을 번다).	2	이들 근로자의 절반 가량은 연간 4만 달러 이하(수백 명이 2만 5천 달러 이하)를 벌고 있다.	3
4	5	"Meanwhile, university presidents"" annual salaries average out to $500,000 and four university athletics coaches are pulling down a cool $1 million. "	origin	반면 대학 총장의 연봉은 평균 50만 달러이며 4명의 대학교 선수 코치의 경우는 백만 달러를 훌쩍 넘는다.	1	한편, 대학 총장들의 연봉은 평균 50만 달러, 대학 육상 코치 4명은 100만 달러를 절감하고 있다.	3	한편, 대학 총장들의 연봉은 평균 50만 달러에 달하며, 4명의 대학 체육 코치들이 100만 달러를 끌어내리고 있다.	2
5	6	While school administrators enjoy six-figure salaries and overall administrative spending continues to bloat, one in six classified staffers qualify for food stamps.	origin	대학 행정 직원들이 여섯 자리의 연봉을 누리고 전체 행정 지출은 계속 불어남에도 계약직 교직원 6명 중 1명만 식권을 지원 받는다.	1	학교 행정가들은 6자리의 급여를 받고 전반적인 행정 지출은 계속 늘어나고 있지만, 6명의 기밀 직원 중 1명은 식권 자격을 얻는다.	3	학교 관리자들이 6자리의 급여를 받고 전체 행정 지출이 계속 증가하고 있는 반면, 6명의 기밀 직원 중 1명은 식권을 받을 자격이 있다.	2
6	7	"As Alejandro Segurra, another IT worker at Portland State University, said, ""I'm willing to go on strike because I don't think it's fair that people are paid wages that don't allow them to live in the city that they serve."""	origin	포틀랜드주립대학교의 IT 직원인 알레한드로 세구라는 “나는 기꺼이 파업할 것이다. 왜냐하면 내가 근무하는 도시에 살 수 없을 정도의 임금을 받는 것은 부당하다고 생각하기 때문이다.”라고 말했다.	1	"포틀랜드 주립대학의 또 다른 IT 직원인 알레한드로 세구라는 ""사람들이 그들이 봉사하는 도시에서 살 수 없는 임금을 받는 것은 공평하지 않다고 생각하기 때문에 파업에 가겠다""고 말했다."	2	"Portland State University의 또 다른 IT 직원인 Alejandro Segurra는 ""사람들이 봉사하는 도시에 거주할 수 없는 임금을 받는 것은 부당하다고 생각하기 때문에 기꺼이 파업에 돌입할 용의가 있다""고 말했다."	3
7	8	"Portland State library worker Theresa Stapleburg was even more direct: ""I want to strike because I've been here 24 years, and I need a raise - a living wage."""	origin	포틀랜드주립도서관의 직원인 테레사 스테이플버그는 더 직설적으로 표현했다. “내가 파업하려는 이유는 내가 여기에서 24년간 근무했고, 나는 연봉 인상이 필요하기 때문이다. 생존에 필요한 돈이다.”	1	"포틀랜드 주립 도서관 직원 테레사 스테이플버그는 ""24년 동안 이곳에 있었기 때문에 파업을 하고 싶다""고 말했다."	3	"포틀랜드 주립 도서관 직원인 테리사 스테이플버그는 ""24년 동안 근무해 왔기 때문에 파업을 하고 싶다""며 ""생계급여를 인상해야 한다""고 말했다."""	2
8	9	As inflation climbs and the cost of living in Oregon soars, these workers are being left to flounder, and management has shown little sympathy for their plight. 	origin	극심한 인플레이션과 오리건 주의 높은 물가 때문에 이 직원들이 곤경에 처해 있지만, 경영진들은 이들의 처지에 일말의 동정심도 보이지 않고 있다.	1	인플레이션이 상승하고 오리건 주 생활비가 치솟으면서 이들 근로자들은 허둥지둥 방치되고 있으며 경영진은 그들의 곤경에 대해 거의 동정심을 보이지 않고 있다.	2	인플레이션이 상승하고 오리건주 생활비가 치솟으면서 이들 노동자들은 곤혹스러운 상황에 대해 경영진은 별다른 공감을 보이지 않고 있다.	3
9	10	Contract negotiations that began in February broke down in mid-August. 	origin	2월에 시작된 임금 협상은 8월 중순에 결렬되었다.	1	지난 2월부터 시작된 계약 협상은 8월 중순 결렬됐다.	2	지난 2월 시작된 계약 협상이 8월 중순 결렬됐다.	2
10	11	At that point, the bosses had laid out some particularly egregious proposals - a paltry cost-of-living increase, a denial of seniority demands from long-term university workers, and a price hike for staff meals - that workers saw as disrespectful, and even cruel.	origin	당시 윗선에서는 쥐꼬리만한 생활비 인상이나 대학교 장기 근속 직원의 연공 서열 요구 거부, 직원 식비 인상 등 매우 터무니없는 제안을 했고, 직원들은 이를 무례하고 심지어 잔인하다고까지 여겼다.	1	그 시점에서 상사들은 특히 터무니없는 제안들, 즉 보잘것없는 생활비 인상, 장기 대학 노동자들의 연공서열 요구 거부, 그리고 직원들의 식사 가격 인상 등 근로자들이 무례하고 심지어 잔인하다고 본 몇 가지를 제시했었다.	3	그 시점에, 사장들은 노동자들이 무례하고 심지어 잔인하다고 보는 사소한 생계비 인상, 대학 장기 노동자들의 연공서열 요구 거부, 그리고 직원 급식에 대한 가격 인상 등 특히 터무니없는 제안들을 내놓았다.	2
11	12	There is an unwritten class system at the universities, Fulmer said. 	origin	펄머 씨는 “대학교에서는 보이지 않는 계급이 존재한다.”라고 말했다.	1	"풀머 교수는 ""대학에는 불문율 수업제도가 있다""고 말했다."	3	대학에는 불문율 수업 제도가 있다고 풀머는 말했다.	2
12	13	And we are at the bottom of it.	origin	“거기서 우리가 제일 밑바닥이다.”	1	"""그리고 우리는 그 밑바닥에 있다."""	2	"""그리고 우리는 그 밑바닥에 있습니다."""	2
13	14	Education workers have been under attack for decades, he continued. 	origin	그는 “교육계 종사자들은 수십 년간 피해를 입었다.”라고 말하며,	1	"그는 이어 ""교육 종사자들은 수십 년 동안 공격을 받아왔다""고 덧붙였다."	2	"그는 ""교육 노동자들은 수십 년 동안 공격을 받아왔다""고 덧붙였다."	2
14	15	We are finally standing up and fighting back.	origin	“이제 우리가 드디어 일어나서 반격에 나서게 되었다.	1	"""우리는 마침내 일어서서 반격하고 있다."	1	"""우리는 마침내 일어서서 맞서고 있습니다."	1
15	16	It's one thing to see classism and the squeezing of the middle class in the corporate world as executives see their relatively obscene pay continue to go up at rates above inflation. 	origin	보통 기업에서 중산층을 계급적으로 차별하고 압박하는 반면 경영진들은 다른 사람에 비해 터무니없이 높은 연봉을 받으며 인플레이션보다 높은 비율로 연봉을 계속 불리는데, 그건 그거다.	1	경영진들이 상대적으로 음란한 급여가 인플레이션보다 높은 비율로 계속 오르고 있다고 보고 있기 때문에, 계급주의와 기업계의 중산층의 압박을 보는 것은 한 가지 일이다.	3	경영진이 상대적으로 터무니없는 급여가 인플레이션보다 계속 오르고 있는 것을 보고 있기 때문에 기업 세계에서 계급주의와 중산층의 압박이 나타나는 것은 한 가지이다.	2
16	17	But for the same thing to be happening in education is not something workers will continue to tolerate.	origin	이런 유사한 일이 교육계에서 벌어지는 걸 우리가 계속 용인할 수는 없을 것이다.”	2	"그러나 교육에서도 같은 일이 일어나는 것은 노동자들이 계속 용인할 일이 아니다."""	1	"그러나 같은 일이 교육에서 일어나는 것은 노동자들이 계속 용납할 일이 아니다."""	1
17	18	And Oregon's state university workers aren't the only ones taking action.	origin	물론 오리건주립대학교 직원들만 파업에 나선 건 아니다.	1	그리고 오레곤의 주립대학 근로자들만이 조치를 취하는 것은 아니다.	3	오리건 주립대학 직원들만이 조치를 취하는 것은 아니다.	2
18	19	Oregon is a powder keg of militancy right now, and its fuse is now burning bright and hot.	origin	오리건은 현재 교전 직전 상태의 화약고나 다름없으며, 그 도화선은 밝고 뜨겁게 타오르고 있다.	1	오레곤은 지금 호전성의 분말통이며, 그 퓨즈는 현재 밝고 뜨겁게 타오르고 있다.	3	오레곤은 지금 전투의 화약고고고 퓨즈는 밝고 뜨겁게 타오르고 있습니다	2
19	20	Grocery store workers at the Fred Meyer supermarket chain are ramping up their campaign against their employer, and while there are no official plans to strike yet, tensions are running high; their union, United Food and Commercial Workers Local 555, has already called for a boycott, and filed an unfair labor practice report against the chain.	origin	대형마트 체인인 프레드 메이어의 직원들도 고용주를 상대로 캠페인을 벌이고 있으며, 아직 공식적인 파업 계획은 없지만 긴장이 고조되고 있다. 이곳의 노동조합인 연합 식품 및 상업 노동자 555 지부는 이미 보이콧에 돌입했고 해당 체인을 상대로 불공정 노동 관행 보고서를 제출했다.	1	프레드 마이어 슈퍼마켓 체인의 식료품점 근로자들은 고용주에 대한 캠페인을 강화하고 있으며, 아직 파업할 공식적인 계획은 없지만 긴장이 고조되고 있다; 그들의 노조인 유나이티드 푸드 앤 상업 노동자 지역 555는 이미 보이콧을 요구했고, 체인에 대해 불공정한 노동 관행 보고서를 제출했다.	2	프레드 마이어 슈퍼마켓 체인의 식료품점 노동자들은 고용주에 대한 반대 운동을 강화하고 있으며 아직 파업 계획은 없지만 긴장이 고조되고 있다. 그들의 노조인 '연합식품상업노동자 555'는 이미 보이콧을 요구했으며 체인에 대한 부당한 노동 관행 보고서를 제출했다.	3
20	21	In the healthcare sector, the 4,500 members of the Service Employees International Union Local 49 workers at Kaiser Permanente authorized a strike (with a 98 percent approval rate) if a deal isn't reached before their existing contract expires in October - which was only narrowly avoided with a new tentative agreement. 	origin	의료계에서는 카이저 퍼머넌트의 노조인 서비스종업원 국제연맹49 지부의 회원 4,500명이 기존의 계약이 10월 만료되기 전까지 협상이 타결되지 않을 경우 파업하는 것을 (찬성 98%로) 승인했었다. 그러나 새 임시 합의가 체결되며 가까스로 이 상황을 피할 수 있었다.	2	의료 분야에서는 카이저 퍼머넌트의 4,500명의 서비스 직원 국제 연합 지역 49명의 근로자들이 10월에 기존 계약이 만료되기 전에 협상이 타결되지 않을 경우 파업(98%의 승인률로)을 승인했는데, 이는 새로운 잠정적인 합의로 간신히 피했다.	1	의료 분야에서는, 카이저 퍼머넌트의 4,500명의 국제노동조합(ISU) 회원들이 10월에 기존 계약이 만료되기 전에 협상이 타결되지 않으면 파업을 허가했다. 그러나 새로운 잠정 합의로 가까스로 피할 수 있었다.	3
