	Segment ID	Source Segment	Segment Origin	Ref	Ref_rating	MT_Z	MT_Z_rating	MT_Y	MT_Y_rating
0	1	HSBC flips crime-spotting tool to scope new business	b	HSBC, 범죄 추적 시스템 전환하여 신규 사업 모색해	3	HSBC, 범죄 현장 조사 도구 뒤집기	1	HSBC는 범죄 탐지 툴을 전환하여 새로운 비즈니스 범위를 정합니다.	2
1	2	British bank HSBC (HSBA.L) has converted a financial crime-spotting algorithm it was forced to build in the wake of a money-laundering scandal into one that can scope out new business opportunities, bank executives said.	b	HSBC 영국은행이 과거 자금 세탁 스캔들로 의무적으로 구축했던 자사의 금융범죄 추적 알고리즘을 전환하여 신 사업 모색에 활용하고 있다고 경영진들은 밝혔다.	1	영국 은행 HSBC(HSBA).L)은 돈세탁 스캔들로 인해 구축해야 했던 금융범죄 탐지 알고리즘을 새로운 사업 기회를 엿볼 수 있는 알고리즘으로 전환했다고 은행 간부들은 말했다.	2	"영국 은행 HSBC(HSBA)은행 임원들은 ""엘)이 돈세탁 스캔들 이후 어쩔 수 없이 구축한 금융범죄 탐지 알고리즘을 새로운 사업 기회를 포착할 수 있는 알고리즘으로 전환했다""고 말했다."	2
2	3	"The system combines data on clients"" banking activities, with public data on company ownership and directorships, to flag desirable potential clients to HSBC staff and offer ways to connect to them through existing relationships."	b	이 시스템은 HSBC 고객들의 금융 거래 기록과 기업의 소유권 및 경영권 관련 공개 데이터를 결합하여 적절한 잠재 고객을 찾아 직원들에게 알려주고 기존의 네트워크로 그들에게 접근하는 방법도 제공한다.	3	이 시스템은 고객의 은행 활동에 대한 데이터와 회사 소유 및 이사직에 대한 공개 데이터를 결합하여 바람직한 잠재 고객을 HSBC 직원에게 플래그하고 기존 관계를 통해 고객과 연결할 수 있는 방법을 제공한다.	1	이 시스템은 고객의 은행 활동에 대한 데이터와 회사 소유권 및 이사권에 대한 공개 데이터를 결합하여 HSBC 직원에게 바람직한 잠재 고객을 표시하고 기존 관계를 통해 고객과 연결할 수 있는 방법을 제공합니다.	2
3	4	Using data and artificial intelligence to try and boost revenues is part of HSBC's broader push to squeeze more out of its large physical network and client data, a key priority for interim Chief Executive Noel Quinn.	b	이처럼 HSBC가 데이터와 인공지능으로 수익을 극대화하려는 것은 자사의 방대한 물리적 네트워크와 고객의 데이터를 남김 없이 활용하기 위해 범위를 확장하는 공격적 전략으로, 노엘 퀸 임시 최고경영자가가 최우선으로 생각하고 있는 부분이다.	3	데이터와 인공지능을 사용하여 수익을 높이려는 것은 HSBC가 대규모 물리적 네트워크와 클라이언트 데이터에서 더 많은 것을 짜내려는 광범위한 노력의 일환이며, 이는 임시 최고 경영자인 노엘 퀸의 핵심 우선순위다.	1	데이터와 인공지능을 사용하여 수익을 증대하는 것은 HSBC가 대규모 물리적 네트워크와 고객 데이터를 더 많이 확보하려는 광범위한 노력의 일환이며, 이는 임시 CEO 노엘 퀸의 핵심 우선순위이다.	2
4	5	"""It's one of the first commercial uses of investment in financial crime prevention, and the business we're getting in this way is inherently lower risk and quicker to win,"" said Stuart Nivison, HSBC's global head of client network banking."	b	HSBC 고객네트워크뱅킹 부서의 스튜어트 나이비슨 글로벌사업 그룹장은 “이번이 금융범죄 예방에 대한 투자를 상업적 용도로 활용한 첫 시도로, 이런 사업 방식은 본질적으로 저위험 고수익이다”라고 밝혔다.	2	"스튜어트 니비슨 HSBC 글로벌 고객 네트워크 뱅킹 대표는 ""금융범죄 예방에 대한 투자의 첫 상업적 용도 중 하나이며, 우리가 이런 식으로 얻고 있는 사업은 본질적으로 위험도가 낮고 이기기 더 빠르다""고 말했다."	1	"HSBC의 글로벌 고객 네트워크 뱅킹 책임자인 스튜어트 니비슨은 ""금융 범죄 예방에 대한 투자를 상업적으로 처음 사용하는 방법 중 하나이며, 이러한 방식으로 우리가 얻고 있는 비즈니스는 본질적으로 리스크가 적고 더 빨리 승리할 수 있다""고 말했다."	2
5	6	"HSBC declined to comment on how much it expects to make from the new system but said the broader ""network income"" initiative has already yielded hundreds of millions of dollars in additional revenue."	b	HSBC는 이번 신사업으로 창출될 기대 수익에 대한 언급은 거부했지만 ‘네트워크 확장 수익’ 이니셔티브로 이미 수십억의 추가 수익이 발생했다고 덧붙였다.	2	"HSBC는 새 제도로 얼마나 벌 것으로 기대되는지에 대해서는 언급을 회피했지만, 광범위한 ""네트워크 소득"" 이니셔티브가 이미 수억 달러의 추가 수익을 창출했다고 말했다."	1	"HSBC는 새로운 시스템을 통해 얼마를 벌 수 있을지에 대해서는 언급하지 않았지만, 더 넓은 ""네트워크 수익"" 계획은 이미 수억 달러의 추가 수익을 창출했다고 말했다."	3
6	7	The drive is an important part of the bank's efforts to defend its global presence at a time when some analysts and investors are saying it should shrink or exit markets like the United States where it makes returns below its cost of capital.	b	몇몇 애널리스트나 투자자들은 수익이 자본금보다 낮은 미국 같은 시장에서 사업 규모를 축소하거나 철수해야 한다고 주장하는 이 시점에 이러한 투자는 HSBC가 자사의 국제적 입지를 고수하기 위한 노력의 중요한 일환이다.	3	이 드라이브는 일부 분석가들과 투자자들이 자본 비용보다 낮은 수익을 내는 미국처럼 시장을 축소하거나 퇴장시켜야 한다고 말하는 상황에서 은행이 세계적인 존재를 방어하기 위한 노력의 중요한 부분이다.	1	일부 분석가들과 투자자들이 미국처럼 자본 비용 이하로 수익을 내는 시장을 축소하거나 빠져나가야 한다고 말하는 상황에서, 이 같은 움직임은 은행의 세계적인 입지를 방어하기 위한 노력의 중요한 부분이다.	2
7	8	HSBC was forced to invest hundreds of millions of dollars in financial crime compliance as part of a $1.9 billion settlement in 2012 with U.S. authorities over the bank's failure to prevent money laundering by drug cartels though its Mexican unit.	b	2012년 HSBC는 몇몇 마약 카르텔이 자사의 멕시코 지사를 통해 자금 세탁을 했으나 막지 못해 19억 달러의 벌금으로 미국 정부와 합의를 봤고 그 일환으로 금융범죄를 추적하는 데 수십억을 투자해야 했다.	2	HSBC는 2012년 멕시코 단위를 통해 마약 카르텔에 의한 돈세탁을 막지 못한 것에 대해 미국 당국과 19억 달러의 합의금의 일환으로 금융범죄 준수에 수억 달러를 투자할 수밖에 없었다.	1	HSBC는 멕시코 사업부를 통해 마약 카르텔에 의한 자금세탁을 막지 못한 은행으로 인해 2012년 19억 달러 합의의 일환으로 금융범죄 준수에 수억 달러를 투자해야 했다.	1
8	9	"The system works by mapping individual customers"" and companies ties to each other and then looking for unusual patterns of transactions or unearthing previously unknown connections between those entities."	b	이 시스템은 개인 고객과 기업의 유대관계를 매핑하여 양측간의 비정상적 거래의 패턴을 찾거나 과거의 드러나지 않은 연결고리를 파헤친다.	1	"이 시스템은 개별 고객""과 회사들이 서로 연결한 다음, 특이한 거래 패턴을 찾거나 이전에 알려지지 않았던 엔티티들 사이의 연결을 찾아내는 것으로 작동한다."	2	이 시스템은 개별 고객을 매핑하는 방식으로 작동하며, 기업은 서로 연결된 후 비정상적인 거래 패턴을 찾거나 이전에 알려지지 않은 기업 간의 연결을 찾아냅니다.	1
9	10	That system has already freed up more than 400 staff to go from manually checking transactions and records to client-facing roles where they can spend time helping customers, said Adrian Rigby, chief operating officer of HSBC's trade business.	b	이 시스템 덕분에 이미 직원 400명이 거래 이력을 손수 확인하는 작업에서 해방되어 고객 대면 업무를 맡고 있고, 이에 따라서 그들이 고객을 돕는 데 시간을 더 할애할 수 있게 되었다고 HSBC 무역 금융 부서의 애드리언 릭비 최고운영책임자는 말했다.	2	"""이 시스템은 이미 400명 이상의 직원을 수동으로 거래와 기록을 확인하는 것에서 고객을 돕는 데 시간을 보낼 수 있는 고객 대면 역할로 자유롭게 해주었다""고 HSBC 무역 사업의 최고 운영 책임자인 Adrian Rigby는 말했다."	1	"HSBC 무역 사업의 최고 운영 책임자인 Adrian Rigby는 ""이 시스템은 이미 400명 이상의 직원이 거래와 기록을 수동으로 확인하는 것에서 고객을 응대하는 역할로 전환하도록 해 주었다""고 말했다."	1
