	Source Segment	Segment Origin	Ref_rating	MT_Z_rating	MT_Y_rating
0	"Royal news: How Princess Beatrice ""reacted with fury at hostile family members"""	b	2	1	2
1	On Thursday, The Duke and Duchess of York announced that their eldest daughter, Princess Beatrice, is engaged to her boyfriend, the 34-year old property tycoon Edoardo Mapelli Mozzi. 	b	2	3	1
2	The Princess, who is ninth-in-line to the throne, will tie the knot with Mr Mapelli Mozzi next year. 	b	1	1	1
3	"The couple said in a statement: ""We are both so excited to be embarking on this life adventure together."	b	1	3	2
4	We share so many similar interests and values, and we know that this will stand us in great stead for the years ahead, full of love and happiness.	b	1	3	2
5	Princess Beatrice's parents, Prince Andrew and Sarah Ferguson, also shared their excitement.	b	1	2	3
6	"The Duchess of York wrote on Twitter: "" I know what a mother feels so I have tears of joy."	b	3	2	1
7	 I am so proud of this sensational news.	b	1	2	2
8	Andrew and I are just the luckiest people ever to have two great sons in law.	b	1	2	3
9	The royal wedding will be another occasion for the entire Royal Family to get together, and hopefully completely repair Fergie's relationship with the Duke of Edinburgh.	b	1	2	3
10	Since Sarah was embroiled in one of the Royal Family's biggest ever scandals, her relationship with the rest of the members has been extremely difficult.	b	1	3	2
11	"Five months after announcing she was separating from Prince Andrew in 1992, compromising photographs of her with her ""financial advisor"" were taken at her holiday villa in St Tropez."	b	1	2	3
12	"The snaps appeared to show Texan millionaire John Bryan kissing and sucking the Duchess"" toes and the arch of her foot, and Prince Philip in particular, is said to have had the strongest reaction to her daughter-in-law's scandalous antics."	b	1	3	2
13	"However, his behaviour was reportedly ""appalling"" towards the Duchess of York, and Princess Beatrice once claimed her mother was the victim of ""mean spirited actions to make her feel unwelcome."""	b	1	2	3
14	JUST IN: Kate and William behind closed doors: Couple's shock habit exposed	b	1	3	2
15	"The report noted that the Duchess"" spokesman was unable to comment on the claims, but a friend of Fergie was quoted as saying: ""It is no secret that Sarah's daughters are pretty fed up by the way their mother has been treated by some members of the Royal Family."	b	1	3	2
16	Some of the bills she has been sent have been pretty miserly.	b	1	2	3
17	"They are constantly berating their father for allowing it to happen and Beatrice in particular has been imploring Prince Andrew to see that their mother is not treated as an outcast."""	b	1	2	3
18	Philip and Sarah were pictured for the first time together in 26 years at Princess Eugenie's wedding to Jack Brooksbank last October.	b	1	2	3
19	Dog control laws to be reviewed in government consultation	a	1	2	1
20	Dog control laws in Scotland are being reviewed amid concerns about out-of-control animals and irresponsible owners.	a	1	2	3
21	A consultation has been launched by the Scottish Government seeking the public's views.	a	1	3	2
22	"Scotland's Community Safety Minister pledged to ""keep communities safe from irresponsible owners,"" with reviews to determine whether laws for out-of-control dogs need changing."	a	2	1	1
23	"Ash Denham MSP said: ""We are holding two reviews into dog control legislation because we are absolutely determined to help keep communities safe from irresponsible owners and their out-of-control dogs."	a	1	3	2
24	This consultation seeks views on improvements on how the Control of Dogs Act 2010 can operate across Scotland, and next year we will take a wider look at all dog control legislation to assess whether changes are needed.	a	1	3	2
25	"Owning a dog brings with it certain responsibilities, including keeping your dog under effective control, and I encourage everyone with an interest in this area to respond to our consultation."""	a	1	2	1
26	The consultation runs until January 15 and contains proposals to toughen and clarify the current legislation, including questioning whether a national dog control database should be created.	a	1	3	2
27	The Scottish Parliament's Post-Legislative Scrutiny Committee has been hearing evidence from victims and parents of children who have been attacked or killed by dogs, prompting the Government to review dog control laws.	a	1	3	2
28	MSPs were told the legislation needs urgent reform to protect vulnerable people and children.	a	1	2	3
29	The committee heard that, in Greater Glasgow and Clyde alone, there were 1,417 people arriving at A&E departments with dog-related injuries, 255 of them children, last year.	a	1	2	3
30	NHS Lanarkshire treated 912 people and NHS Ayrshire 439, both four-year highs.	a	1	1	1
31	In July, the committee's MSPs concluded current dog control legislation is not fit for purpose and called on the Scottish Government to undertake a comprehensive review of all dog-control laws.	a	1	2	3
32	"Convener Jenny Marra said: ""Dog law in Scotland is not fit for purpose."	a	1	3	2
33	There are still far too many dog attacks on children and little enforcement or understanding of the current laws that might prevent these attacks.”	a	1	3	2
34	It has become clear that current dog control law doesn't work. 	a	1	2	2
35	It needs reform urgently so that out of control and dangerous dogs can be dealt with properly and we can try to move to a system that prevents our children being injured by dogs.	a	1	3	2
36	"The consultation, launched on the Government's website on Friday, says: ""Effective and consistent enforcement across Scotland is fundamental in helping address issues relating to out-of-control dogs.”"	a	1	3	2
37	This review is focused on steps that can be taken to help aid enforcement agencies such as local authorities, as they use their powers to help keep communities safe.	a	1	3	2
38	Khloe Kardashian's cheating ex Tristan Thompson leaves ANOTHER desperate comment on her Instagram pic after rumours he wants her back	b	1	2	2
39	KHLOE Kardashian's cheating ex Tristan Thompson has left ANOTHER desperate comment on her Instagram page following rumours that he wants her back.	b	1	3	2
