	Source Segment	Segment Origin	Ref_rating	MT_Z_rating	MT_Y_rating
0	Man set alight on doorstep 'in targeted attack'	a	1	3	2
1	A man has been set alight on his doorstep in what police believe is a targeted attack.	a	1	2	3
2	The 48-year-old was soaked in flammable liquid, believed to be petrol, before bursting into flames outside his home in Skelmersdale, West Lancashire.	a	1	1	1
3	He is in hospital in a critical but stable condition after suffering serious burns.	a	1	1	1
4	Police have launched an attempted murder inquiry after they were called to the man's house at about 1am on Thursday.	a	1	1	2
5	"Detective Chief Inspector Pauline Stables, leading the investigation, said: ""This is a horrific incident which has left a man in a very poorly condition in hospital."	a	1	1	2
6	We are carrying out a number of enquiries to try to identify those responsible.”	a	1	2	2
7	While we are trying to establish a motive for what has happened, we do believe that the incident was targeted and I would like to stress that I don't believe there is any threat to the wider community at this time.”	a	1	3	2
8	Someone out there knows who has done this and I would urge them to come forward and speak to us.”	a	1	3	2
9	Has a loved one come home acting suspiciously, smelling of smoke or petrol or with unexplained injuries?”	a	1	1	2
10	We need to find the people responsible for this dreadful crime.	a	1	1	1
11	US deaths could result in Scottish ban on vaping and e-cigarette ads	b	1	3	2
12	A BAN on advertising for e-cigarettes and vaping products, is being considered by ministers.	b	1	2	1
13	"The First Minister has confirmed that a consultation on the move would take place in ""the coming months."""	b	1	3	2
14	"Nicola Sturgeon says that if evidence supports further moves over the sale of such products her Government would ""not hesitate"" to act."	b	1	3	2
15	It comes as it emerged a vaping-related illness had claimed two more lives, bringing the total number of fatalities to 11.	b	1	3	2
16	Vaping - which involves inhaling a mix typically made of nicotine, water, solvents and flavours - is seen as an alternative to smoking which can help you quit, but its safety is still not entirely known.	b	1	2	1
17	But in the US, more than 500 people are known to have fallen ill with a mysterious lung disease after smoking e-cigarettes.	b	1	2	1
18	Officials said hundreds of additional cases had been reported in the past week alone.	b	1	1	1
19	The first deaths in Florida and Georgia were announced on Tuesday and Wednesday.	b	1	1	2
20	Currently 38 states have recorded cases of the illness, with lives lost in eight states.	b	1	2	1
21	"While most patients have reported a history of using products containing THC, the psychoactive compound in cannabis, the patient who died in Georgia on Wednesday reported only ""heavy nicotine vaping."""	b	1	2	2
22	"The Centres for Disease Control and Prevention (CDC) has more than 100 officials investigating the cause of the mystery illness, and has warned citizens against smoking e-cigarette products until more is known, particularly if modified or bought ""off the street."""	b	1	3	2
23	"The First Minister has confirmed the Scottish Government was monitorigin developments in the US and elsewhere ""closely,"" following the loss of life that has been attributed to vaping."	b	1	3	2
24	She pointed out that to date they have not seen any cases of deaths attributed to vaping being reported in Europe.	b	1	2	1
25	Our approach has been a precautionary one, which is why in Scotland we have already taken the strictest regulatory approach in Europe to vapour products, she said.	b	1	2	1
26	The European tobacco products directive restricts the advertising of e-cigarettes and ensures that e-liquids cannot contain ingredients that are known to be harmful.	b	1	1	2
27	The directive also limits the concentration of nicotine in e-liquids.	b	1	2	1
28	In Scotland, we have also introduced a retail register and a mandatory age verification scheme and we have funded trading standards departments in all council areas to ensure that retailers comply with the regulations.	b	2	3	1
29	"In the coming months, we will consult on introducing a complete ban on the advertising and promotion of vapour products."""	b	1	2	1
30	"She added: ""It is important to stress, and for all of us to remember, that those devices are relatively new and, therefore, their impact continues to be studied."	b	1	2	2
31	We do not yet fully understand what that impact is, which is why the approach that we have taken has been very cautious.	b	1	2	1
32	That is perhaps a reason why e-cigarette use remains relatively low in Scotland.	b	1	2	2
33	We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.	b	1	2	2
34	While we already have among the strictest regimes on those products, if the evidence shows that further action is needed... we will not hesitate to take it.	b	1	3	2
35	The Next Big Labor Strike Hits Oregon	a	1	2	1
36	The state university workers’ most pressing complaints center on low wages and a lack of dignity at work.	a	1	1	2
37	The pay disparities alone are shocking. 	a	1	1	1
38	About half of these workers earn less than $40,000 per year (and hundreds make less than $25,000). 	a	1	2	1
39	Meanwhile, university presidents' annual salaries average out to $500,000 and four university athletics coaches are pulling down a cool $1 million.	a	1	2	3
40	While school administrators enjoy six-figure salaries and overall administrative spending continues to bloat, one in six classified staffers qualify for food stamps.	a	1	2	2
41	"As Alejandro Segurra, another IT worker at Portland State University, said, ""I'm willing to go on strike because I don't think it's fair that people are paid wages that don't allow them to live in the city that they serve."" "	a	1	1	2
42	"Portland State library worker Theresa Stapleburg was even more direct: ""I want to strike because I've been here 24 years, and I need a raise — a living wage."""	a	1	1	2
43	As inflation climbs and the cost of living in Oregon soars, these workers are being left to flounder, and management has shown little sympathy for their plight.	a	1	2	1
44	Contract negotiations that began in February broke down in mid-August. 	a	1	1	1
45	At that point, the bosses had laid out some particularly egregious proposals — a paltry cost-of-living increase, a denial of seniority demands from long-term university workers, and a price hike for staff meals — that workers saw as disrespectful, and even cruel.	a	1	1	2
