	ID	Source Segment	Segment Origin	Ref_rating	MT_Z_rating	MT_Y_rating
0	381	Cleveland police branded 'failing' in all areas by inspectors	b	1	2	2
1	382	"Scandal-hit Cleveland police has become the first force to be branded ""failing"" in all areas by inspectors."	b	2	3	1
2	383	It has been rated inadequate overall and in three key areas by Her Majesty's Inspectorate of Constabulary and Fire and Rescue Services (HMICFRS), which scrutinised its ability to reduce crime and keep people safe, operate efficiently, as well as the way it treats the public and its workforce.	b	1	2	3
3	384	"The findings mean the force is effectively plunged into special measures, where the chief constable and police and crime commissioner are called before a national board and questioned about their plans to ensure ""critical improvements"" are made."	b	1	3	2
4	385	The home secretary could then step in to tackle the problem if no progress is made.	b	1	1	2
5	386	A string of scandals has plagued the force, covering Hartlepool, Redcar and Cleveland, Stockton and Middlesbrough in the north east of England.	b	1	3	2
6	387	It has seen six chief constables in almost as many years.	b	1	3	2
7	388	"Former chief constable Sean Price was sacked for gross misconduct in 2012; seven officers were under investigation after journalists"" phones were unlawfully monitored, and there have been long-standing claims of racism within the ranks."	b	1	2	3
8	389	"Work practices were recently described by the chief inspector of constabulary as being about as ""inefficient as you can possibly imagine,"" with officers having to share laptops and bodyworn cameras."	b	1	2	2
9	390	"HM Inspector of Constabulary Phil Gormley said it was a ""failing force"" where there had been ""significant"" deterioration in the last two years."	b	1	2	3
10	391	"Tees Valley mayor Ben Houchen said the report described the ""worst findings ever into any police force in the country"" which was ""finally the official validation"" that the force is ""broken"" and said the Home Office needed to intervene now."	b	1	2	3
11	392	"He added: ""It's no longer in dispute."	b	2	3	1
12	393	It is a fact described in black and white in this report.	b	1	2	2
13	394	The findings are some of the most distressing and shocking I have ever read.	b	2	1	2
14	395	Cleveland is one of 15 forces that has been recently inspected by HMICFRS inspectors, and the only one rated inadequate in all areas.	b	1	2	2
15	396	"Gormley added: ""The force doesn't appropriately prioritise crime prevention."	b	1	2	3
16	397	There is a lack of strategic direction, and the force doesn't allocate enough resources to prevention work …	b	1	3	2
17	398	It is failing to respond appropriately to vulnerable people, including children.	b	2	1	2
18	399	"It is missing opportunities to safeguard them and exposing them to risk."""	b	1	3	2
19	400	"He said senior leaders were not consistently demonstrating ""ethical behaviour,"" and the ""inappropriate behaviour of senior leaders within Cleveland is so profound that it is affecting the efficiency and effectiveness of the force."""	b	1	2	3
20	401	"He added: ""It doesn't consistently treat its workforce with fairness and respect and it doesn't effectively communicate with or engage its workforce; its processes aren't perceived to be fair and it doesn't understand its workforce well enough to support them."""	b	1	3	2
21	402	Despite the findings, the force did receive a small amount of praise for the way it tackles serious and organised crime but was told it must improve the way it investigates crimes.	b	2	1	1
22	403	"The force's police and crime commissioner Barry Coppinger said: ""I am deeply concerned at the worrying contents of this report."	b	1	1	2
23	404	The force's recent performance is simply not good enough.	b	1	2	3
24	405	"He said he had received assurances from the current chief constable Richard Lewis that ""swift action"" was taken as soon as he became aware of the failings."	b	1	3	2
25	406	Coppinger has been ordered by the Home Office to respond to the report within 56 days.	b	1	1	2
26	407	"Lewis said the report would act ""as a line in the sand"" for the force, adding: ""Improvements have already been made and I take full responsibility for driving through the changes that are so obviously needed."	b	1	3	2
27	408	"In the five months I've been here I have met some exceptional police officers and staff, at all levels, and have seen lives saved and vulnerable people protected by the efforts and determination of frontline officers."""	b	1	2	3
28	409	If drastic improvements are not made quickly enough, the Government could step in, as it can when prisons are failing.	b	2	1	3
29	410	But so far politicians have never had to resort to this measure with police forces, inspectors said.	b	1	2	2
30	411	"Kit Malthouse, minister for crime, policing and fire, said he welcomed the chief constable's ""swift action to address these failings and will be monitoring the position closely,"" adding: ""Transparency and accountability are vital for public trust in policing."	b	1	2	3
31	138	David Attenborough working on new documentary about animals and colour	a	1	2	1
32	139	David Attenborough is 93-years-old but the iconic nature guru is not slowing down just yet.	a	1	3	2
33	140	No, after the success of his groundbreaking Netflix documentary Our Planet, the much loved star is set to return with another series: Life In Colour.	a	1	2	3
34	141	This time, the father-of-two will look at how animals use colour in their lives through high-tech cameras that were built especially for the programme.	a	1	2	1
35	142	"The BBC have revealed that the star aims to show ""a world of colour normally invisible to human eyes"" — and it sounds truly fascinating."	a	1	2	2
36	143	However, despite fans being eager for the upcoming release, it seems we all need to sit tight as it won't be dropping on our screens until 2021.	a	1	2	3
37	144	But we're sure it'll be worth the wait.	a	2	1	1
38	145	Earlier this month, David was presented with the TV Choice Lifetime Achievement Award, at the prestigious ceremony in London.	a	2	1	1
