	Source Segment	Segment Origin	Ref_rating	MT_Z_rating	MT_Y_rating
0	Three Scottish students named among Europe's best	a	1	3	2
1	Three University of Dundee students have been named regional winners as top graduates in Europe.	a	1	2	2
2	The University of Dundee students were named as top graduates in their respective fields in Europe in the 2019 Global Undergraduate Awards, whilst five other students from the same university were praised by the judges.	a	1	2	3
3	Scott Sheldrick, who graduated in Molecular Genetics, won the Europe award for Life Sciences, Chester Cornford studied MSc Mental Health Nursing and was awarded the Nursing, Midwifery & Allied Healthcare prize, whilst Lola Knibb won the Visual Arts award.	a	1	2	2
4	Although all three made it through to the global final, they lost out in the final round to strong competition from some of the 3,500 entrants from across the world.	a	1	2	3
5	"Professor Blair Grubb, Vice-Principal (Education) at the University, said: ""To get to this stage, our students and graduates faced competition from peers attending some of the world's top universities.”"	a	1	3	2
6	The Undergraduate Awards are fiercely contested by thousands of students around the world and it is a great reflection of the quality of our students, and the education they receive here, that Dundee is so strongly represented amongst the prize winners.”	a	3	2	1
7	"I would like to offer my warmest congratulations to Scott, Chester and Lola on this fantastic achievement, alongside the other Dundee representatives who were highly commended."""	a	1	2	3
8	Another five students were commended in the world's leading undergraduate awards programme, which recognises top work completed by undergraduates to share this with a global audience.	a	1	2	3
9	Included in the five praised students were Nicholas Gallagher and James Osbourne (both Life Sciences), Ferenc Kohsuke Ishikawa Gutai (Medicine), Caitlyn Scott (Anatomical Sciences) and Waco Yokoyama (Philosophy).	a	1	2	3
10	The competition further celebrates top undergraduate coursework and helps create collaborations between students and recent graduates worldwide.	a	1	2	2
11	Serena Williams Fined $10,000 For Allegedly Damaging Wimbledon Court	b	1	2	1
12	Serena Williams, tennis legend and seven-time Wimbledon champion, is being fined $10,000 for allegedly damaging the London practice courts with her racquet.	b	2	1	1
13	The All England Club, which hosts the Wimbledon tournament, handed the fine to Williams after she reportedly caused damage during a practice round on the outside courts on June 30, according to The Associated Press and CNN.	b	1	2	2
14	The 37-year-old tennis star appeared to shrug off the fine while speaking to reporters after winning the quarterfinal round against Alison Riske on Tuesday.	b	1	3	2
15	I haven't really thought about it, to be honest, she said when asked about the fine.	b	1	3	2
16	I just threw my racquet.	b	1	2	2
17	I got fined.	b	2	1	2
18	Williams said she didn't know how that could've caused damage.	b	1	3	2
19	I mean, I guess if you could tell me, I would appreciate it, she told reporters.	b	1	3	2
20	I mean, I have always been an Avenger in my heart.	b	2	1	3
21	Maybe I'm super strong.	b	2	1	1
22	I don't know.	b	1	1	1
23	Williams is after her eighth Wimbledon title, which would be her 24th grand slam victory.	b	1	2	3
24	She is advancing to the singles semifinals on Thursday against Czech player Barbora Strýcová.	b	1	3	2
25	Williams was also fined a total of $17,000 last year after she defended herself against an umpire at the U.S. Open who accused her of illegally communicating with her coach during a match.	b	1	2	3
26	"During that incident, the umpire issued three code violations to Williams: One for receiving illegal coaching, a second for breaking her tennis racket in frustration and a third after she confronted the umpire and called him a ""thief."""	b	1	3	2
27	"Many of Williams"" fans claimed that the umpire was unnecessarily harsh in his response to her, especially considering male players"" meltdowns throughout the history of the sport."	b	1	2	3
