	Ref	Google Before	Google After	TER
0	영국 왕실 뉴스: 베아트리스 공주, ‘적대적인 왕실 구성원들에게 이렇게 분노 표출해’	"왕실 뉴스: 베아트리체 공주가 어떻게 ""적대적인 가족 구성원들에게 분노에 반응했는지"""	Royal News : 공주님이 적대 가족 구성원들에게 분노와 반응 한 공주	0.9091
1	목요일 영국 요크공 부부는 장녀 베아트리스 공주가 부동산 재벌 남자 친구인 에도아르도 마펠리 모치(34)와 약혼했다고 발표했다.	목요일, The Duke and Duchess of York은 큰 딸 베아트리체 공주가 남자친구인 34세의 부동산 재벌 Edoardo Mapelli Mozzi와 약혼했다고 발표했습니다.	목요일에, 듀크와 요크와 공주님의 공주님이 그녀의 남자 친구와 34 세의 부동산 Tycoon Edoardo Mapelli Mozzi에 종사하고 있다고 발표했습니다.	0.9444
2	왕위 계승 서열 9위인 베아트리스 공주는 마펠리 모치와 내년에 결혼할 예정이다.	왕위 계승 서열 9위인 공주는 내년에 마펠리 모찌 씨와 결혼식을 올린다.	보좌에 9 번째 인 공주님은 내년 Mapelli Mozzi Mr Mr Mapelli Mozzi와 매듭을 묶을 것입니다.	1.0
3	이 둘은 “인생 여정을 함께 시작하게 되어 우리는 둘다 매우 들떠있다.”라고 성명서에서 밝혔다.	"두 사람은 성명을 통해 ""우리 둘 다 이 인생의 모험을 함께 시작하게 되어 매우 흥분된다."	"부부는 진술에서 말했습니다. ""우리는이 생활 모험을 함께 착수하게되어 너무 기쁩니다."	1.3
4	“우리는 관심사와 가치관이 매우 비슷하고, 이 부분이 우리의 미래를 사랑과 행복으로 메우는 매우 중요한 역할을 할 거라고 생각한다.”	"""우리는 비슷한 관심사와 가치를 공유하고 있으며 이것이 앞으로 몇 년 동안 사랑과 행복으로 가득 찬 우리를 대신할 큰 힘이 될 것임을 압니다."""	"""우리는 너무 많은 비슷한 관심사와 가치를 공유하고, 우리는 이것이 사랑과 행복으로 가득차있는 수년 동안 큰 대신에 우리를 견뎌 낼 것임을 알고 있습니다."""	0.7273
5	베아트리스 공주의 부모인 앤드류 공작과 사라 퍼거슨 부인도 이 기쁨을 함께했다.	베아트리체 공주의 부모인 앤드류 왕자와 사라 퍼거슨도 기쁨을 나눴다.	Princess Beatrice의 부모님, Andrew 왕자와 사라 퍼거슨 (Sarah Ferguson)도 흥분을 공유했습니다.	0.8182
6	요크공 부인은 트위터에 이런 글을 남겼다. “나도 엄마의 마음으로 기쁨의 눈물을 흘린다.	"요크 공작부인은 자신의 트위터에 ""어머니의 마음을 알기에 기쁨의 눈물이 난다."	"요크의 공작은 트위터에 썼습니다 : ""나는 어머니가 어떤 느낌이 느끼는지 알고 있습니다."	1.0
7	세상이 놀랄 이 소식이 나는 매우 자랑스럽다.”	이 센세이셔널한 소식이 너무 자랑스럽습니다.	나는이 감각적 인 뉴스를 자랑스럽게 생각합니다.	1.0
8	“앤드류와 나는 훌륭한 사위를 둘이나 얻은 복 받은 사람이다.”	"""앤드류와 나는 두 명의 훌륭한 사위를 갖게 된 가장 운이 좋은 사람들입니다."""	"""Andrew와 나는 법에 두 명의 큰 아들을 갖는 것이 가장 좋은 사람들입니다."""	0.5833
9	이번 결혼식은 왕가 전체가 모이는 행사가 될 것이고, 이를 통해 퍼거슨 공작 부인과 앤드류 에든버러 공작의 관계가 완전히 회복되길 기대하고 있다.	왕실 결혼식은 왕실 전체가 한자리에 모이는 또 다른 기회가 될 것이며 에든버러 공작과 퍼기와의 관계를 완전히 회복할 수 있기를 바랍니다.	왕실 결혼식은 전체 왕족이 모화를 위해 또 다른 행사가 될 것이며, 에딘버러의 공작과 퍼지의 관계를 완전히 수리하기를 바랍니다.	0.6111
10	사라 부인이 왕가의 사상 최대 스캔들에 휘말리면서 왕실 구성원들과의 관계가 급격히 나빠졌다.	사라는 왕실 역사상 가장 큰 스캔들 중 하나에 휘말린 이후로 나머지 멤버들과의 관계는 극도로 어려워졌습니다.	Sarah는 왕실 가족의 가장 큰 스캔들 중 한 명으로 휩쓸었기 때문에 나머지 회원들과의 관계는 매우 어렵습니다.	0.5625
11	1992년 사라 부인이 앤드류 공작과 별거 중이라고 발표하고 5개월 뒤에 자신의 프랑스 셍뜨호뻬의 별장에서 그녀의 ‘재정 고문’과 함께 있는 은밀한 사진이 찍혔다.	"그녀가 1992년 앤드류 왕자와 별거한다고 발표한 지 5개월 후, 그녀의 ""재정 고문""과 그녀의 타협하는 사진이 생트로페에 있는 그녀의 별장에서 찍혔습니다."	"1992 년 프린스 앤드류 (Andrew) 왕자와 분리 한 지 5 개월 후, 그녀의 ""금융 고문""과 함께 그녀의 사진을 타협하는 것은 St Tropez의 휴가 빌라에서 촬영되었습니다."	0.68
12	이 사진에는 텍사스 출신의 백만장자인 존 브라이언이 공작 부인의 발가락과 발바닥을 빨고 키스하는 모습이 담겼고, 특히 필립 공이 며느리의 망측한 스캔들에 가장 격하게 반응했다고 전해진다.	스냅사진은 텍사스의 백만장자 존 브라이언이 공작 부인의 발가락과 발바닥에 키스하고 빠는 모습을 보여주었으며, 특히 필립 왕자는 며느리의 추문에 대해 가장 강한 반응을 보였다고 합니다.	스핀들은 텍사스 백만장 자의 John Bryan 키스를하고 공작의 발가락과 그녀의 발의 아치를 빨아 먹는 것처럼 보였고, 특히 Philip 왕자는 며느리의 스코틀랜드의 Antic에게 가장 강한 반응을 보였다고합니다.	0.7692
13	그러나 사라 부인은 시아버지인 필립 공의 이러한 반응에 ‘충격을 받은 것’으로 전해지며, 베아트리스 공주는 자신의 엄마가 “환영 받지 못한다는 느낌을 주려는 그들의 악의적 행동”의 피해자라고 주장한 적도 있다.	"그러나 그의 행동은 요크 공작 부인에 대한 ""끔찍한"" 행동이었고, 베아트리체 공주는 한때 그녀의 어머니가 ""그녀를 환영받지 못한다고 느끼게 만드는 비열한 행동""의 희생자라고 주장했습니다."	"그러나 그의 행동은 뉴욕의 공작점에 대한 ""소름 끼치는""것으로 보도되었으며, 한때 그녀의 어머니가 ""그녀의 편안함을 느끼게하기위한 정당한 조치""라는 희생자라고 주장했다."	0.7895
14	속보: 케이트와 윌리엄 부부의 이면. 부부의 충격적인 습관이 노출됐다.	JUST IN: 닫힌 문 뒤에 있는 Kate와 William: 부부의 충격 습관이 드러났습니다.	방금 : 케이트와 윌리엄 뒤에 닫힌 문 : 커플의 충격 습관이 노출되었습니다.	0.75
15	이러한 주장에 대해 사라 부인의 대변인이 답변하지 못했다고 뉴스는 보도했지만, 사라 부인의 한 친구의 말을 다음과 같이 인용했다. “사라의 딸들은 왕실의 몇몇 구성원들이 자신의 엄마를 대하는 태도에 질릴 만큼 질렸고 이건 공공연한 사실이다.”	"보고서에 따르면 공작 부인 대변인은 이러한 주장에 대해 논평할 수 없었지만 퍼기의 친구는 ""사라의 딸들이 일부 회원들이 어머니를 대하는 방식에 상당히 지쳐 있다는 것은 비밀이 아니다. 왕실 가족."	"이 보고서는 공작원의 대변인이 주장에 대해 논평 할 수 없었지만 퍼거의 친구는 ""Sarah의 딸들이 자신의 어머니가 어떤 회원들에 의해 치료를받는 방식으로 꽤 섭취하는 것은 비밀이 아닙니다. 왕실 가족. """	0.7241
16	“사라가 받은 청구서 중에는 꽤 궁색한 것도 있었다.”	"""그녀가 보낸 청구서 중 일부는 꽤 비참했습니다."	"""그녀가 보낸 청구서 중 일부는 꽤 비참했습니다."""	0.1429
17	“사라의 딸들은 일이 이렇게까지 되도록 내버려 둔 아버지 앤드류 공을 계속 원망하고 있고, 특히 베아트리스 공주는 엄마가 아웃사이더 취급을 받지 말아야 한다고 아버지한테 간절히 부탁해왔다.”	"""그들은 그런 일이 일어나도록 방치한 아버지를 끊임없이 꾸짖고 있으며 특히 베아트리체는 앤드류 왕자에게 어머니가 버림받은 사람으로 취급되지 않도록 해달라고 간청하고 있습니다."""	"""그들은 끊임없이 일어날 수 있도록 그들의 아버지를 훔쳐서 특히 아 앤드류의 왕자 앤드류를 나머지로 취급하지 않음을 알게되었습니다."""	1.0588
18	필립 공과 사라 부인이 함께 사진에 찍힌 것은 지난해 10월 유제니 공주와 잭 브룩스뱅크의 결혼식 이후로 26년 만에 처음이었다.	필립과 사라는 지난 10월 잭 브룩스뱅크와 유제니 공주의 결혼식에서 26년 만에 처음으로 함께 사진을 찍었다.	필립과 사라는 지난 10 월 잭 브룩스 뱅크 공주님의 결혼식에서 26 년 동안 처음으로 묘사되었습니다.	0.7333
19	애완견 관리법, 정부 심의회에서 검토할 예정	정부 협의에서 검토할 애견 관리법	정부 상담에서 검토 할 개 통제법	0.8333
20	통제 불능의 동물이나 무책임한 소유주에 대한 우려로 스코틀랜드의 애완견 관리법이 검토 중에 있다.	스코틀랜드의 개 통제법은 통제 불능의 동물과 무책임한 주인에 대한 우려 속에서 검토되고 있습니다.	스코틀랜드의 개 통제법은 통제적인 동물과 무책임한 소유자에 대한 우려가 아플 수 있습니다.	0.5
21	스코틀랜드 정부는 여론 수렴을 위해 심의회를 열었다.	스코틀랜드 정부는 대중의 의견을 구하는 협의를 시작했습니다.	협의는 스코틀랜드 정부가 대중의 견해를 추구하는 것에 의해 시작되었습니다.	0.7778
22	스코틀랜드의 지역사회안전부 장관은 “무책임한 애완견 소유자로부터 지역사회를 안전하게 보호하겠다”고 약속하며, 통제 불능의 개와 관련된 법안을 수정할지 여부를 결정하기 위해 법안을 검토하고 있다.	"스코틀랜드의 지역 사회 안전 장관은 통제 불능의 개에 대한 법률 변경이 필요한지 여부를 결정하기 위한 검토와 함께 ""무책임한 주인으로부터 지역 사회를 안전하게 보호""하겠다고 약속했습니다."	"스코틀랜드의 공동체 안전 장관은 통제 개선 개가 변화가 필요한 법률 여부를 결정하기 위해 리뷰와 함께 ""무책임한 소유자로부터 안전하게 지키고"""	0.7895
23	"애쉬 댄햄 스코틀랜드 의회의원은 다음과 같이 말했다. ""우리는 애완견 관리법의 두 가지 사안에 대해 검토하는 중이다. 왜냐하면 우리가 무책임한 애완견 소유자와 그들의 통제 불가능한 개로부터 지역사회를 안전하게 보호하기로 굳게 결심했기 때문이다.”"	"Ash Denham MSP는 다음과 같이 말했습니다: ""우리는 무책임한 주인과 통제 불능의 개로부터 지역 사회를 안전하게 보호하는 데 절대적으로 도움이 되기 때문에 개 통제 법안에 대한 두 가지 검토를 진행하고 있습니다."	"애쉬 데햄 MSP는 ""우리는 무책임한 소유자와 통제 개가 외부 개로 지역 사회를 안전하게 지키는 데 절대적으로 결정되기 때문에 강아지 통제법에 2 개의 리뷰를 개최하고 있습니다."	0.8
24	“이번 심의회는 스코틀랜드에서 2010 애완견 관리법의 적용 방법을 개선하기 위한 견해를 모색하고 있고, 내년에는 변화가 필요한지 여부를 평가하기 위해 모든 애완견 관리에 관한 법률을 좀더 거시적으로 살펴볼 예정이다.”	"""이 협의는 2010년 개 통제법이 스코틀랜드 전역에서 어떻게 운영될 수 있는지에 대한 개선 사항에 대한 견해를 구하고 있으며, 내년에는 모든 개 통제법을 검토하여 변경이 필요한지 여부를 평가할 것입니다."	"""이 상담은 스코틀랜드에서 개법 (Dogs Act 2010)의 통제가 어떻게 작동 할 수 있는지 개선에 대한 견해를 추구하고 내년에는 변경이 필요한지 여부를 평가하기 위해 모든 개 제어 법안을 넓게 살펴볼 것입니다."	0.7333
25	“애완견을 키우려면 개를 효과적인 통제하에 두는 등 어느 정도의 책임이 수반된다. 이 사안에 관심이 있는 모든 사람들이 심의회에 참여하길 바란다.”	"""개를 소유하는 것은 개를 효과적으로 통제하는 것을 포함하여 특정 책임을 수반하며, 이 분야에 관심이 있는 모든 사람이 우리의 상담에 응답할 것을 권장합니다."""	"""개가 소유하고 있으며, 개를 효과적인 통제하에 개를 지키는 것을 포함하여 특정 책임을 가지고 있으며, 우리의 상담에 대응하기 위해이 분야에 관심이있는 모든 사람을 격려합니다."""	0.7826
