	Segment ID	Before_tokens	After_tokens	TER
0	1	"왕실 뉴스 : 베아트리체 공주 가 "" 적대 하 는 가족 들 에게 분노 의 반응 을 보였 다 """	"왕실 뉴스 : 베아트리체 공주 가 "" 적대 하 는 가족 들 에게 분노 의 반응 을 보였 다 """	0.0
1	2	요크 공작 과 공작부인 은 목요일 장녀 베아트리체 공주 가 남자 친구 인 34 세 의 부동산 재벌 에도아르도 마 펠리 모찌 와 약혼 했 다고 발표 했 다 .	요크 공작 과 공작부인 은 목요일 장녀 베아트리체 공주 가 남자 친구 인 34 세 의 부동산 재벌 에도아르도 마 펠리 모찌 와 약혼 했 다고 발표 했 다 .	0.0
2	3	왕위 계승 서열 9 위 인 공주 는 내년 에 마 펠리 모찌 씨 와 결혼 할 예정 입니다 .	왕위 계승 서열 9 위 인 공주 는 내년 에 마 펠리 모찌 씨 와 결혼 할 예정 입니다 .	0.0
3	4	"이 커플 은 성명 에서 "" 우리 둘 다 이 인생 모험 을 함께 시작 하 게 되 어 매우 기쁩니다 . "" 라고 말 했 다 ."	"이 커플 은 성명 에서 "" 우리 둘 다 이 인생 모험 을 함께 시작 하 게 되 어 매우 기쁩니다 . "" 라고 말 했 다 ."	0.0
4	5	""" 우리 는 많 은 비슷 한 관심 과 가치 를 공유 하 고 있 으며 , 이것 이 사랑 과 행복 으로 가득 찬 우리 에게 앞 으로 몇 년 동안 큰 보탬 이 될 것 이 라는 것 을 알 고 있 습니다 ."	""" 우리 는 많 은 비슷 한 관심 과 가치 를 공유 하 고 있 으며 , 이것 이 사랑 과 행복 으로 가득 찬 우리 에게 앞 으로 몇 년 동안 큰 보탬 이 될 것 이 라는 것 을 알 고 있 습니다 ."	0.0
5	6	베아트리체 공주 의 부모 인 앤드루 왕자 와 사라 퍼거슨 도 흥분 을 나눴 다 .	베아트리체 공주 의 부모 인 앤드루 왕자 와 사라 퍼거슨 도 흥분 을 나눴 다 .	0.0
6	7	"요크 공작부인 은 트위터 에 "" 엄마 가 느끼 는 감정 을 잘 알 고 있 어 기쁨 의 눈물 을 흘린다 ."	"요크 공작부인 은 트위터 에 "" 엄마 가 느끼 는 감정 을 잘 알 고 있 어 기쁨 의 눈물 을 흘린다 ."	0.0
7	8	나 는 이 선정 적 인 뉴스 가 너무 자랑 스럽 다 .	나 는 이 선정 적 인 뉴스 가 너무 자랑 스럽 다 .	0.0
8	9	""" 앤드루 와 저 는 훌륭 한 두 아들 을 낳 은 가장 운 이 좋 은 사람 들 입니다 . """	""" 앤드루 와 저 는 훌륭 한 두 아들 을 낳 은 가장 운 이 좋 은 사람 들 입니다 . """	0.0
9	10	왕실 결혼식 은 왕실 가족 전체 가 함께 모일 또 다른 기회 가 될 것 이 며 , 퍼거슨 과 에든버러 공작 의 관계 를 완전히 회복 시키 기 를 바란다 .	왕실 결혼식 은 왕실 가족 전체 가 함께 모일 또 다른 기회 가 될 것 이 며 , 퍼거슨 과 에든버러 공작 의 관계 를 완전히 회복 시키 기 를 바란다 .	0.0
10	11	사라 가 왕실 역사 상 가장 큰 스캔들 에 휘말린 이후 , 나머지 멤버 들 과 의 관계 는 극도 로 어려웠 다 .	사라 가 왕실 역사 상 가장 큰 스캔들 에 휘말린 이후 , 나머지 멤버 들 과 의 관계 는 극도 로 어려웠 다 .	0.0
11	12	"1992 년 앤드루 왕자 와 별거 를 선언 한 지 5 개월 만 에 세인트 트 로페즈 의 휴가 용 별장 에서 "" 금융 고문 "" 과 함께 찍 은 사진 을 훼손 했 다 ."	"1992 년 앤드루 왕자 와 별거 를 선언 한 지 5 개월 만 에 세인트 트 로페즈 의 휴가 용 별장 에서 "" 금융 고문 "" 과 함께 찍 은 사진 을 훼손 했 다 ."	0.0
12	13	텍사스 출신 의 백만장자 존 브라이언 이 공작부인 의 발가락 과 발바닥 에 키스 하 고 빨 고 있 는 모습 을 담 은 스냅 으로 보이 며 특히 필립 왕자 가 며느리 의 추문 에 가장 강한 반응 을 보였 다고 한다 .	이 스냅 은 텍사스 백만장자 존 브라이언 이 공작부인 의 발가락 과 발바닥 에 키스 하 고 빨 고 있 는 모습 을 담 은 것 으로 나타났으며 특히 필립 왕자 가 며느리 의 추문 에 가장 강한 반응 을 보였 다고 한다 .	0.1591
13	14	"그러나 그 의 행동 은 요크 공작 부인 에 대한 "" 끔찍 한 "" 것 으로 알려졌으며 베아트리체 공주 는 한때 그녀 의 어머니 가 "" 그녀 를 불쾌 하 게 만들 기 위한 비열 한 행동 의 피해자 "" 라고 주장 했 다 . """	"그러나 그 의 행동 은 요크 공작 부인 에 대한 "" 끔찍 한 "" 것 으로 알려졌으며 베아트리체 공주 는 한때 그녀 의 어머니 가 "" 그녀 를 불쾌 하 게 만들 기 위한 비열 한 행동 의 피해자 "" 라고 주장 했 다 . """	0.0
14	15	케이트 와 윌리엄 은 밀실 뒤 에 있 다 커플 의 충격 습관 이 드러났 다	케이트 와 윌리엄 은 밀실 뒤 에 있 다 커플 의 충격 습관 이 드러났 다	0.0
15	16	"보도 에 따르 면 공작부인 의 대변인 은 이 같 은 주장 에 대해 언급 할 수 없 다고 밝혔으나 퍼거슨 의 한 친구 는 "" 사라 의 딸 들 이 왕실 의 일부 구성원 들 로부터 어머니 가 받 은 대우 에 질려 있 다는 것 은 비밀 이 아니 다 "" 라고 말 했 다고 한다 ."	"이 보고서 는 공작부인 의 대변인 이 이 주장 에 대해 언급 할 수 없 다고 언급 했 지만 퍼 거지 의 한 친구 는 "" 사라 의 딸 들 이 그 들 의 어머니 가 왕실 가족 들 에게 받 아 온 대우 에 상당히 질렸 다는 것 은 비밀 이 아니 다 "" 라고 말 했 다고 한다 ."	0.3607
16	17	""" 그녀 가 보낸 지폐 중 일부 는 꽤 구두쇠 였 습니다 ."	""" 그녀 가 보낸 지폐 들 중 일부 는 꽤 구두쇠 였 습니다 . """	0.1333
17	18	"베아트리체 는 특히 앤드류 왕자 에게 어머니 가 왕따 취급 을 받 지 않 도록 해 달 라고 간청 했 다 . """	"베아트리체 는 특히 앤드류 왕자 에게 어머니 가 왕따 취급 을 받 지 않 도록 해 달 라고 간청 했 다 . """	0.0
18	19	필립 과 사라 는 지난 10 월 잭 브룩스뱅크 와 의 유진 공주 의 결혼식 에서 26 년 만 에 처음 으로 함께 찍 은 사진 이 다 .	필립 과 사라 는 지난 10 월 잭 브룩스뱅크 와 의 유진 공주 의 결혼식 에서 26 년 만 에 처음 으로 함께 찍 은 사진 이 다 .	0.0
19	20	정부 협의 시 반려 견 관리법 검토 예정	정부 협의 시 반려 견 관리법 검토 예정	0.0
20	21	스코틀랜드 의 개 사육법 은 통제 불능 동물 과 무 책임 한 주인 에 대한 우려 속 에서 검토 되 고 있 다 .	스코틀랜드 의 개 사육법 은 통제 불능 동물 과 무 책임 한 주인 에 대한 우려 속 에서 검토 되 고 있 다 .	0.0
21	22	스코틀랜드 정부 가 대중 의 의견 을 구하 는 협의 가 시작 되 었 다 .	스코틀랜드 정부 가 대중 의 의견 을 구하 는 협의 가 시작 되 었 다 .	0.0
22	23	"스코틀랜드 사회 안 전부 장관 은 통제 불능 개 에 대한 법률 개정 이 필요 한지 여부 를 결정 하 기 위한 검토 와 함께 "" 무 책임 한 주인 으로부터 지역 사회 를 안 전하 게 보호 하 겠 다 "" 고 약속 했 다 ."	"스코틀랜드 사회 안 전부 장관 은 통제 불능 개 에 대한 법률 개정 이 필요 한지 여부 를 결정 하 기 위한 검토 와 함께 "" 무 책임 한 주인 으로부터 지역 사회 를 안 전하 게 보호 하 겠 다 "" 고 약속 했 다 ."	0.0
23	24	"애쉬 덴햄 MSP 는 "" 우리 는 무 책임 한 주인 들 과 통제 불능 의 개 들 로부터 지역 사회 를 안 전하 게 지키 도록 절대 적 으로 굳 게 결심 했 기 때문 에 개 통제 법률 에 대한 두 가지 검토 를 하 고 있 다 "" 고 말 했 다 ."	"애쉬 덴햄 MSP 는 "" 우리 는 무 책임 한 주인 들 과 통제 불능 의 개 들 로부터 지역 사회 를 안 전하 게 지키 도록 절대 적 으로 굳 게 결심 했 기 때문 에 개 통제 법률 에 대한 두 가지 검토 를 하 고 있 다 "" 고 말 했 다 ."	0.0
24	25	"그 는 "" 이번 협의 는 2010 년 개 통제법 이 스코틀랜드 전역 에서 어떻게 운영 될 수 있 는지 에 대한 개선 안 을 모색 하 는 것 이 며 , 내년 에 는 모든 개 통제 법안 을 더 폭넓 게 검토 해 변화 가 필요 한지 여부 를 평가 할 것 "" 이라고 말 했 다 ."	"그 는 "" 이번 협의 는 2010 년 개 통제법 이 스코틀랜드 전역 에서 어떻게 운영 될 수 있 는지 에 대한 개선 안 을 모색 하 는 것 이 며 , 내년 에 는 모든 개 통제 법안 을 더 폭넓 게 검토 해 변화 가 필요 한지 여부 를 평가 할 것 "" 이라고 말 했 다 ."	0.0
25	26	""" 개 를 키우 는 것 은 개 를 효과 적 으로 통제 하 는 것 을 포함 한 특정 한 책임 을 수반 하 며 , 저 는 이 분야 에 관심 이 있 는 모든 사람 들 이 우리 의 상담 에 응할 것 을 권장 합니다 . """	""" 개 를 키우 는 것 은 개 를 효과 적 으로 통제 하 는 것 을 포함 한 특정 한 책임 을 수반 하 며 , 저 는 이 분야 에 관심 이 있 는 모든 사람 들 이 우리 의 상담 에 응할 것 을 권장 합니다 . """	0.0
