	Segment ID	Before_tokens	After_tokens	TER
0	1	왕실 뉴스 : 베아트리체 공주 가 적대 적 인 가족 들 에게 분노 로 어떻게 반응 했 는가	왕실 뉴스 : 베아트리체 공주 가 적대 적 인 가족 들 에게 분노 로 어떻게 반응 했 는가	0.0
1	2	요크 공작부인 은 17 일 장녀 베아트리체 공주 가 남자 친구 인 34 세 의 재산 재벌 에도아르도 마 펠리 모지 와 약혼 했 다고 발표 했 다 .	요크 공작부인 은 17 일 장녀 베아트리체 공주 가 남자 친구 인 34 세 의 재산 재벌 에도아르도 마 펠리 모지 와 약혼 했 다고 발표 했 다 .	0.0
2	3	왕위 계승 서열 9 위 인 공주 는 내년 에 마 펠리 모지 씨 와 결혼 한다 .	왕위 계승 서열 9 위 인 공주 는 내년 에 마 펠리 모지 씨 와 결혼 한다 .	0.0
3	4	"이 커플 은 성명 을 통해 "" 우리 둘 다 함께 이 인생 모험 에 착수 하 게 되 어 매우 흥분 된다 ."	"이 커플 은 성명 을 통해 "" 우리 둘 다 함께 이 인생 모험 에 착수 하 게 되 어 매우 흥분 된다 ."	0.0
4	5	""" 우리 는 많 은 비슷 한 관심사 와 가치 를 공유 하 고 있 으며 , 이것 이 앞 으로 몇 년 동안 사랑 과 행복 으로 가득 차 서 우리 를 큰 대신 할 것 이 라는 것 을 알 고 있 다 . """	""" 우리 는 많 은 비슷 한 관심사 와 가치 를 공유 하 고 있 으며 , 이것 이 앞 으로 몇 년 동안 사랑 과 행복 으로 가득 차 서 우리 를 큰 대신 할 것 이 라는 것 을 알 고 있 다 . """	0.0
5	6	베아트리체 공주 의 부모 인 앤드류 왕자 와 사라 퍼거슨 도 그 들 의 흥분 을 나누 었 다 .	베아트리체 공주 의 부모 인 앤드류 왕자 와 사라 퍼거슨 도 그 들 의 흥분 을 나누 었 다 .	0.0
6	7	"요크 공작부인 은 트위터 에 "" 어머니 가 어떤 기분 인지 알 고 기쁨 의 눈물 을 흘린다 ."	"요크 공작부인 은 트위터 에 "" 어머니 가 어떤 기분 인지 알 고 기쁨 의 눈물 을 흘린다 ."	0.0
7	8	나 는 이 선정 적 인 뉴스 가 너무 자랑 스럽 다 .	나 는 이 선정 적 인 뉴스 가 너무 자랑 스럽 다 .	0.0
8	9	""" 앤드류 와 나 는 법 에서 두 명 의 위대 한 아들 을 둔 가장 운 이 좋 은 사람 들 이 다 . """	""" 앤드류 와 나 는 법 에서 두 명 의 위대 한 아들 을 둔 가장 운 이 좋 은 사람 들 이 다 . """	0.0
9	10	왕실 결혼식 은 왕실 가족 전체 가 함께 할 수 있 는 또 다른 기회 가 될 것 이 며 , 바라건대 퍼기 와 에든버러 공작 의 관계 를 완전히 회복 시킬 것 이 다 .	왕실 결혼식 은 왕실 가족 전체 가 함께 할 수 있 는 또 다른 기회 가 될 것 이 며 , 바라건대 퍼기 와 에든버러 공작 의 관계 를 완전히 회복 시킬 것 이 다 .	0.0
