	Google Before	Google After	TER
0	"왕실 뉴스: 베아트리체 공주가 어떻게 ""적대적인 가족 구성원들에게 분노에 반응했는지"""	Royal News : 공주님이 적대 가족 구성원들에게 분노와 반응 한 공주	0.9091
1	목요일, The Duke and Duchess of York은 큰 딸 베아트리체 공주가 남자친구인 34세의 부동산 재벌 Edoardo Mapelli Mozzi와 약혼했다고 발표했습니다.	목요일에, 듀크와 요크와 공주님의 공주님이 그녀의 남자 친구와 34 세의 부동산 Tycoon Edoardo Mapelli Mozzi에 종사하고 있다고 발표했습니다.	0.9444
2	왕위 계승 서열 9위인 공주는 내년에 마펠리 모찌 씨와 결혼식을 올린다.	보좌에 9 번째 인 공주님은 내년 Mapelli Mozzi Mr Mr Mapelli Mozzi와 매듭을 묶을 것입니다.	1.0
3	"두 사람은 성명을 통해 ""우리 둘 다 이 인생의 모험을 함께 시작하게 되어 매우 흥분된다."	"부부는 진술에서 말했습니다. ""우리는이 생활 모험을 함께 착수하게되어 너무 기쁩니다."	1.3
4	"""우리는 비슷한 관심사와 가치를 공유하고 있으며 이것이 앞으로 몇 년 동안 사랑과 행복으로 가득 찬 우리를 대신할 큰 힘이 될 것임을 압니다."""	"""우리는 너무 많은 비슷한 관심사와 가치를 공유하고, 우리는 이것이 사랑과 행복으로 가득차있는 수년 동안 큰 대신에 우리를 견뎌 낼 것임을 알고 있습니다."""	0.7273
5	베아트리체 공주의 부모인 앤드류 왕자와 사라 퍼거슨도 기쁨을 나눴다.	Princess Beatrice의 부모님, Andrew 왕자와 사라 퍼거슨 (Sarah Ferguson)도 흥분을 공유했습니다.	0.8182
6	"요크 공작부인은 자신의 트위터에 ""어머니의 마음을 알기에 기쁨의 눈물이 난다."	"요크의 공작은 트위터에 썼습니다 : ""나는 어머니가 어떤 느낌이 느끼는지 알고 있습니다."	1.0
7	이 센세이셔널한 소식이 너무 자랑스럽습니다.	나는이 감각적 인 뉴스를 자랑스럽게 생각합니다.	1.0
8	"""앤드류와 나는 두 명의 훌륭한 사위를 갖게 된 가장 운이 좋은 사람들입니다."""	"""Andrew와 나는 법에 두 명의 큰 아들을 갖는 것이 가장 좋은 사람들입니다."""	0.5833
9	왕실 결혼식은 왕실 전체가 한자리에 모이는 또 다른 기회가 될 것이며 에든버러 공작과 퍼기와의 관계를 완전히 회복할 수 있기를 바랍니다.	왕실 결혼식은 전체 왕족이 모화를 위해 또 다른 행사가 될 것이며, 에딘버러의 공작과 퍼지의 관계를 완전히 수리하기를 바랍니다.	0.6111
10	사라는 왕실 역사상 가장 큰 스캔들 중 하나에 휘말린 이후로 나머지 멤버들과의 관계는 극도로 어려워졌습니다.	Sarah는 왕실 가족의 가장 큰 스캔들 중 한 명으로 휩쓸었기 때문에 나머지 회원들과의 관계는 매우 어렵습니다.	0.5625
11	"그녀가 1992년 앤드류 왕자와 별거한다고 발표한 지 5개월 후, 그녀의 ""재정 고문""과 그녀의 타협하는 사진이 생트로페에 있는 그녀의 별장에서 찍혔습니다."	"1992 년 프린스 앤드류 (Andrew) 왕자와 분리 한 지 5 개월 후, 그녀의 ""금융 고문""과 함께 그녀의 사진을 타협하는 것은 St Tropez의 휴가 빌라에서 촬영되었습니다."	0.68
12	스냅사진은 텍사스의 백만장자 존 브라이언이 공작 부인의 발가락과 발바닥에 키스하고 빠는 모습을 보여주었으며, 특히 필립 왕자는 며느리의 추문에 대해 가장 강한 반응을 보였다고 합니다.	스핀들은 텍사스 백만장 자의 John Bryan 키스를하고 공작의 발가락과 그녀의 발의 아치를 빨아 먹는 것처럼 보였고, 특히 Philip 왕자는 며느리의 스코틀랜드의 Antic에게 가장 강한 반응을 보였다고합니다.	0.7692
13	"그러나 그의 행동은 요크 공작 부인에 대한 ""끔찍한"" 행동이었고, 베아트리체 공주는 한때 그녀의 어머니가 ""그녀를 환영받지 못한다고 느끼게 만드는 비열한 행동""의 희생자라고 주장했습니다."	"그러나 그의 행동은 뉴욕의 공작점에 대한 ""소름 끼치는""것으로 보도되었으며, 한때 그녀의 어머니가 ""그녀의 편안함을 느끼게하기위한 정당한 조치""라는 희생자라고 주장했다."	0.7895
14	JUST IN: 닫힌 문 뒤에 있는 Kate와 William: 부부의 충격 습관이 드러났습니다.	방금 : 케이트와 윌리엄 뒤에 닫힌 문 : 커플의 충격 습관이 노출되었습니다.	0.75
15	"보고서에 따르면 공작 부인 대변인은 이러한 주장에 대해 논평할 수 없었지만 퍼기의 친구는 ""사라의 딸들이 일부 회원들이 어머니를 대하는 방식에 상당히 지쳐 있다는 것은 비밀이 아니다. 왕실 가족."	"이 보고서는 공작원의 대변인이 주장에 대해 논평 할 수 없었지만 퍼거의 친구는 ""Sarah의 딸들이 자신의 어머니가 어떤 회원들에 의해 치료를받는 방식으로 꽤 섭취하는 것은 비밀이 아닙니다. 왕실 가족. """	0.7241
16	"""그녀가 보낸 청구서 중 일부는 꽤 비참했습니다."	"""그녀가 보낸 청구서 중 일부는 꽤 비참했습니다."""	0.1429
17	"""그들은 그런 일이 일어나도록 방치한 아버지를 끊임없이 꾸짖고 있으며 특히 베아트리체는 앤드류 왕자에게 어머니가 버림받은 사람으로 취급되지 않도록 해달라고 간청하고 있습니다."""	"""그들은 끊임없이 일어날 수 있도록 그들의 아버지를 훔쳐서 특히 아 앤드류의 왕자 앤드류를 나머지로 취급하지 않음을 알게되었습니다."""	1.0588
18	필립과 사라는 지난 10월 잭 브룩스뱅크와 유제니 공주의 결혼식에서 26년 만에 처음으로 함께 사진을 찍었다.	필립과 사라는 지난 10 월 잭 브룩스 뱅크 공주님의 결혼식에서 26 년 동안 처음으로 묘사되었습니다.	0.7333
19	정부 협의에서 검토할 애견 관리법	정부 상담에서 검토 할 개 통제법	0.8333
20	스코틀랜드의 개 통제법은 통제 불능의 동물과 무책임한 주인에 대한 우려 속에서 검토되고 있습니다.	스코틀랜드의 개 통제법은 통제적인 동물과 무책임한 소유자에 대한 우려가 아플 수 있습니다.	0.5
21	스코틀랜드 정부는 대중의 의견을 구하는 협의를 시작했습니다.	협의는 스코틀랜드 정부가 대중의 견해를 추구하는 것에 의해 시작되었습니다.	0.7778
22	"스코틀랜드의 지역 사회 안전 장관은 통제 불능의 개에 대한 법률 변경이 필요한지 여부를 결정하기 위한 검토와 함께 ""무책임한 주인으로부터 지역 사회를 안전하게 보호""하겠다고 약속했습니다."	"스코틀랜드의 공동체 안전 장관은 통제 개선 개가 변화가 필요한 법률 여부를 결정하기 위해 리뷰와 함께 ""무책임한 소유자로부터 안전하게 지키고"""	0.7895
23	"Ash Denham MSP는 다음과 같이 말했습니다: ""우리는 무책임한 주인과 통제 불능의 개로부터 지역 사회를 안전하게 보호하는 데 절대적으로 도움이 되기 때문에 개 통제 법안에 대한 두 가지 검토를 진행하고 있습니다."	"애쉬 데햄 MSP는 ""우리는 무책임한 소유자와 통제 개가 외부 개로 지역 사회를 안전하게 지키는 데 절대적으로 결정되기 때문에 강아지 통제법에 2 개의 리뷰를 개최하고 있습니다."	0.8
24	"""이 협의는 2010년 개 통제법이 스코틀랜드 전역에서 어떻게 운영될 수 있는지에 대한 개선 사항에 대한 견해를 구하고 있으며, 내년에는 모든 개 통제법을 검토하여 변경이 필요한지 여부를 평가할 것입니다."	"""이 상담은 스코틀랜드에서 개법 (Dogs Act 2010)의 통제가 어떻게 작동 할 수 있는지 개선에 대한 견해를 추구하고 내년에는 변경이 필요한지 여부를 평가하기 위해 모든 개 제어 법안을 넓게 살펴볼 것입니다."	0.7333
25	"""개를 소유하는 것은 개를 효과적으로 통제하는 것을 포함하여 특정 책임을 수반하며, 이 분야에 관심이 있는 모든 사람이 우리의 상담에 응답할 것을 권장합니다."""	"""개가 소유하고 있으며, 개를 효과적인 통제하에 개를 지키는 것을 포함하여 특정 책임을 가지고 있으며, 우리의 상담에 대응하기 위해이 분야에 관심이있는 모든 사람을 격려합니다."""	0.7826
26	협의는 1월 15일까지 진행되며 국가 개 통제 데이터베이스를 만들어야 하는지 여부에 대한 질문을 포함하여 현행법을 강화하고 명확히 하기 위한 제안이 포함되어 있습니다.	상담은 1 월 15 일까지 실행되며 국가 개 제어 데이터베이스가 작성되어야하는지 여부를 묻는 질문을 포함하여 현재 법률을 강화하는 제안서를 포함하고 분명히합니다.	0.9524
27	스코틀랜드 의회의 입법 후 조사 위원회(Post-Legislative Scrutiny Committee)는 개에게 공격을 받거나 살해당한 어린이의 부모와 피해자로부터 증거를 듣고 있어 정부가 개 통제법을 검토하도록 촉구했습니다.	스코틀랜드 의회의 사후 법적 조사위원회는 개가 공격하거나 살해 한 자녀의 희생자와 부모의 증거를 듣고 정부에 개 통제법을 검토하도록 촉구했습니다.	0.7895
28	MSP는 취약한 사람들과 어린이를 보호하기 위해 법안이 시급한 개혁이 필요하다는 말을 들었습니다.	MSP는 취약한 사람들과 아이들을 보호하기위한 긴급한 개혁이 필요하다고 들었습니다.	0.7778
29	위원회는 작년에 Greater Glasgow와 Clyde에서만 개와 관련된 부상으로 1,417명이 A&E 부서에 도착했으며 그 중 255명이 어린이라고 들었습니다.	위원회는 Glasgow와 Clyde만으로도 개로 관련 부상을 입은 255 명의 어린이들과 255 명의 어린이들과 함께 A & E 부서에 도착했다고 들었습니다.	0.9
30	NHS Lanarkshire는 912명을 치료했으며 NHS Ayrshire는 439명을 치료했는데 이는 모두 4년 최고치입니다.	NHS Lanarkshire는 912 명의 사람들과 NHS Ayrshire 439, 4 년 최고를 치료했습니다.	0.8333
31	7월에 위원회의 MSP는 현행 개 통제 법안이 목적에 적합하지 않다는 결론을 내리고 스코틀랜드 정부에 모든 개 통제 법률에 대한 포괄적인 검토를 착수할 것을 촉구했습니다.	7 월에,위원회의 MSP는 현재의 개 통제 법안이 목적을 위해 적합하지 않고 스코틀랜드 정부가 모든 개 제어법에 대한 포괄적 인 검토를 수행하기 위해 부름 받았다.	0.7083
32	"의장 Jenny Marra는 ""스코틀랜드의 개 법은 목적에 적합하지 않습니다."	"케이블 제니 마르라 (Jenny Marra)는 ""스코틀랜드의 개 법은 목적을 위해 적합하지 않습니다."	0.5833
33	여전히 어린이에 대한 개 공격이 너무 많고 이러한 공격을 방지할 수 있는 현행법에 대한 시행이나 이해가 거의 없습니다.	"어린이에 대한 개 공격이 너무 많아서 이러한 공격을 예방할 수있는 현재의 법률에 대해 적은 집행이나 이해가 거의 없습니다. """	0.5263
34	"""현재의 개 통제법이 효과가 없다는 것이 분명해졌습니다."	"""현재의 개 통제법이 작동하지 않는다는 것은 분명 해졌습니다."	0.625
35	통제 불능이고 위험한 개들이 제대로 처리될 수 있도록 시급한 개혁이 필요하고 우리 아이들이 개에게 다치지 않도록 하는 제도로 넘어가도록 노력해야 한다”고 말했다.	"통제력과 위험한 개가 제대로 처리 될 수 있도록 긴급히 개혁을 필요로하고 우리 아이들이 개가 부상당하는 시스템으로 이동하려고 노력할 수 있습니다. """	0.8095
36	금요일에 정부 웹사이트에서 시작된 자문은 다음과 같이 말합니다.	"금요일에 정부의 웹 사이트에서 출시 된 상담은 다음과 같습니다. ""스코틀랜드 전역의 효과적이고 일관된 집행은 통제 개종 개와 관련된 주소 문제를 돕는 근본적입니다."""	0.9091
37	"""이 검토는 지역 당국과 같은 집행 기관이 자신의 권한을 사용하여 지역 사회를 안전하게 유지하는 데 도움이 될 수 있는 조치에 중점을 둡니다."""	"""이 리뷰는 지역 사회를 안전하게 유지하는 데 도움이되는 권한을 사용하도록 지방 당국과 같은 집행 기관을 지원하는 데 도움이되는 단계에 중점을두고 있습니다."""	0.7143
