	Segment ID	Source Segment	Segment Origin	Ref	Ref_rating	MT_Z	MT_Z_rating	MT_Y	MT_Y_rating
0	1	"Royal news: How Princess Beatrice ""reacted with fury at hostile family members"""	a	영국 왕실 뉴스: 베아트리스 공주, ‘적대적인 왕실 구성원들에게 이렇게 분노 표출해’	1	왕실 뉴스: 베아트리체 공주가 적대적인 가족들에게 분노로 어떻게 반응했는가	2	"왕실 뉴스: 베아트리체 공주가 ""적대하는 가족들에게 분노의 반응을 보였다"""	2
1	2	On Thursday, The Duke and Duchess of York announced that their eldest daughter, Princess Beatrice, is engaged to her boyfriend, the 34-year old property tycoon Edoardo Mapelli Mozzi. 	a	목요일 영국 요크공 부부는 장녀 베아트리스 공주가 부동산 재벌 남자 친구인 에도아르도 마펠리 모치(34)와 약혼했다고 발표했다.	1	요크 공작부인은 17일 장녀 베아트리체 공주가 남자친구인 34세의 재산 재벌 에도아르도 마펠리 모지와 약혼했다고 발표했다.	2	요크 공작과 공작부인은 목요일 장녀 베아트리체 공주가 남자친구인 34세의 부동산 재벌 에도아르도 마펠리 모찌와 약혼했다고 발표했다.	1
2	3	The Princess, who is ninth-in-line to the throne, will tie the knot with Mr Mapelli Mozzi next year. 	a	왕위 계승 서열 9위인 베아트리스 공주는 마펠리 모치와 내년에 결혼할 예정이다.	1	왕위 계승 서열 9위인 공주는 내년에 마펠리 모지 씨와 결혼한다.	1	왕위 계승 서열 9위인 공주는 내년에 마펠리 모찌 씨와 결혼할 예정입니다.	1
3	4	"The couple said in a statement: ""We are both so excited to be embarking on this life adventure together."	a	이 둘은 “인생 여정을 함께 시작하게 되어 우리는 둘다 매우 들떠있다.”라고 성명서에서 밝혔다.	1	"이 커플은 성명을 통해 ""우리 둘 다 함께 이 인생 모험에 착수하게 되어 매우 흥분된다."	2	"이 커플은 성명에서 ""우리 둘 다 이 인생 모험을 함께 시작하게 되어 매우 기쁩니다.""라고 말했다."	1
4	5	We share so many similar interests and values, and we know that this will stand us in great stead for the years ahead, full of love and happiness.	a	“우리는 관심사와 가치관이 매우 비슷하고, 이 부분이 우리의 미래를 사랑과 행복으로 메우는 매우 중요한 역할을 할 거라고 생각한다.”	1	"""우리는 많은 비슷한 관심사와 가치를 공유하고 있으며, 이것이 앞으로 몇 년 동안 사랑과 행복으로 가득 차서 우리를 큰 대신할 것이라는 것을 알고 있다."""	2	"""우리는 많은 비슷한 관심과 가치를 공유하고 있으며, 이것이 사랑과 행복으로 가득 찬 우리에게 앞으로 몇 년 동안 큰 보탬이 될 것이라는 것을 알고 있습니다."	1
5	6	Princess Beatrice's parents, Prince Andrew and Sarah Ferguson, also shared their excitement.	a	베아트리스 공주의 부모인 앤드류 공작과 사라 퍼거슨 부인도 이 기쁨을 함께했다.	1	베아트리체 공주의 부모인 앤드류 왕자와 사라 퍼거슨도 그들의 흥분을 나누었다.	3	베아트리체 공주의 부모인 앤드루 왕자와 사라 퍼거슨도 흥분을 나눴다.	2
6	7	"The Duchess of York wrote on Twitter: "" I know what a mother feels so I have tears of joy."	a	요크공 부인은 트위터에 이런 글을 남겼다. “나도 엄마의 마음으로 기쁨의 눈물을 흘린다.	1	"요크 공작부인은 트위터에 ""어머니가 어떤 기분인지 알고 기쁨의 눈물을 흘린다."	2	"요크 공작부인은 트위터에 ""엄마가 느끼는 감정을 잘 알고 있어 기쁨의 눈물을 흘린다."	1
7	8	 I am so proud of this sensational news.	a	세상이 놀랄 이 소식이 나는 매우 자랑스럽다.”	1	나는 이 선정적인 뉴스가 너무 자랑스럽다.	2	나는 이 선정적인 뉴스가 너무 자랑스럽다.	2
8	9	Andrew and I are just the luckiest people ever to have two great sons in law.	a	“앤드류와 나는 훌륭한 사위를 둘이나 얻은 복 받은 사람이다.”	1	"""앤드류와 나는 법에서 두 명의 위대한 아들을 둔 가장 운이 좋은 사람들이다."""	2	"""앤드루와 저는 훌륭한 두 아들을 낳은 가장 운이 좋은 사람들입니다."""	2
9	10	The royal wedding will be another occasion for the entire Royal Family to get together, and hopefully completely repair Fergie's relationship with the Duke of Edinburgh.	a	이번 결혼식은 왕가 전체가 모이는 행사가 될 것이고, 이를 통해 퍼거슨 공작 부인과 앤드류 에든버러 공작의 관계가 완전히 회복되길 기대하고 있다.	1	왕실 결혼식은 왕실 가족 전체가 함께 할 수 있는 또 다른 기회가 될 것이며, 바라건대 퍼기와 에든버러 공작의 관계를 완전히 회복시킬 것이다.	2	왕실 결혼식은 왕실 가족 전체가 함께 모일 또 다른 기회가 될 것이며, 퍼거슨과 에든버러 공작의 관계를 완전히 회복시키기를 바란다.	1
10	11	Since Sarah was embroiled in one of the Royal Family's biggest ever scandals, her relationship with the rest of the members has been extremely difficult.	a	사라 부인이 왕가의 사상 최대 스캔들에 휘말리면서 왕실 구성원들과의 관계가 급격히 나빠졌다.	1	사라가 왕실의 가장 큰 스캔들 중 하나에 휘말린 이후, 나머지 멤버들과의 관계는 매우 어려웠다.	1	사라가 왕실 역사상 가장 큰 스캔들에 휘말린 이후, 나머지 멤버들과의 관계는 극도로 어려웠다.	1
11	12	"Five months after announcing she was separating from Prince Andrew in 1992, compromising photographs of her with her ""financial advisor"" were taken at her holiday villa in St Tropez."	a	1992년 사라 부인이 앤드류 공작과 별거 중이라고 발표하고 5개월 뒤에 자신의 프랑스 셍뜨호뻬의 별장에서 그녀의 ‘재정 고문’과 함께 있는 은밀한 사진이 찍혔다.	1	1992년 앤드류 왕자와 별거 중이라고 발표한 지 5개월 만에 세인트 트로페즈의 휴가 별장에서 '재정 고문'과 함께 찍은 사진을 훼손했다.	2	"1992년 앤드루 왕자와 별거를 선언한 지 5개월 만에 세인트 트로페즈의 휴가용 별장에서 ""금융 고문""과 함께 찍은 사진을 훼손했다."	2
