	Segment ID	Source Segment	Segment Origin	Ref	Ref_rating	MT_Z	MT_Z_rating	MT_Y	MT_Y_rating
0	1	Three Scottish students named among Europe's best	b	스코틀랜드 학생 3명, 유럽 최우수 학생에 선정돼	1	유럽 최고 중의 세 명의 스코틀랜드 학생	1	세 명의 스코틀랜드 학생이 유럽 최고 학생으로 선정되었다.	1
1	2	Three University of Dundee students have been named regional winners as top graduates in Europe.	b	던디대학교 학생 3명이 유럽 지역 최우수 졸업생에 선정되었다.	1	던디 대학 학생 3명이 유럽의 최고 졸업생으로 지역 수상자로 선정되었습니다.	1	던디 대학교 학생 3명이 유럽 최고의 졸업생으로 지역 수상자로 선정되었다.	1
2	3	The University of Dundee students were named as top graduates in their respective fields in Europe in the 2019 Global Undergraduate Awards, whilst five other students from the same university were praised by the judges.	b	이 던디대학교 학생들은 2019년 글로벌 대학생 어워드에서 유럽의 각 분야별 최우수 졸업생으로 선정되었고, 동 대학교의 다른 5명의 학생들은 심사위원단의 찬사를 받았다.	1	던디 대학 학생들은 2019년 글로벌 학부 시상식에서 유럽의 각 분야에서 최고 졸업생으로 선정되었으며, 같은 대학의 다른 5명의 학생들은 심사 위원들로부터 칭찬을 받았습니다.	1	던디대 학생들은 2019 글로벌 학부상에서 유럽 각 분야 최고 졸업생으로 선정됐고, 같은 대학 5명은 심사위원들로부터 극찬을 받았다.	1
3	4	Scott Sheldrick, who graduated in Molecular Genetics, won the Europe award for Life Sciences, Chester Cornford studied MSc Mental Health Nursing and was awarded the Nursing, Midwifery & Allied Healthcare prize, whilst Lola Knibb won the Visual Arts award.	b	분자유전학과를 졸업한 스콧 셸드릭은 생명과학 분야에서 유럽 최고상을 수상했고, 정신간호학 석사 과정의 체스터 콘포드는 간호, 조산 및 응용보건학 분야, 롤라 닙은 시각 예술 분야에서 수상하였다.	1	분자 유전학을 졸업한 스콧 쉘드릭은 유럽 생명과학상을, 체스터 콘포드는 MSc 정신건강간호를 공부했으며 간호, 중간간호, 연합건강관리상을, 롤라 니브는 시각예술상을 받았다.	3	분자유전학을 졸업한 스콧 쉘드릭은 유럽 생명과학상을, 체스터 콘포드는 MSC 정신건강간호를 공부해 간호, 산파 및 연합 의료상을, 롤라 니브는 시각예술상을 수상했다.	2
4	5	Although all three made it through to the global final, they lost out in the final round to strong competition from some of the 3,500 entrants from across the world.	b	세 학생 모두 국제대회 결승전까지 진출했지만, 결승전에서 전세계 3,500명의 참가자 중 몇몇과 치열한 경쟁을 벌이다 탈락했다.	1	세 명 모두 세계 결승전에 진출했지만, 그들은 결승전에서 전 세계 3,500명의 참가자들 중 일부와 강한 경쟁으로 졌다.	3	3명 모두 글로벌 결승에 진출했지만 최종 라운드에서 전 세계 3500여 명과 치열한 경쟁을 벌이다 패했다.	2
5	6	"Professor Blair Grubb, Vice-Principal (Education) at the University, said: ""To get to this stage, our students and graduates faced competition from peers attending some of the world's top universities."	b	던디대학교의 부총장인 블레어 그럽 교수는 “여기에 오기까지 본교 학생들과 졸업생들이 전세계 일류 대학교 학생들과 경쟁했다”라고 말했다.	1	"블레어 그럽(대학 부교장) : ""이 단계에 이르기 위해 우리 학생들과 졸업생들은 세계 최고의 대학들 중 일부에 다니는 동료들과 경쟁에 직면했다."	2	"이 대학의 교감인 블레어 그루브 교수는 ""이 단계로 가기 위해 우리 학생들과 졸업생들은 세계 일류 대학에 다니는 동료들의 경쟁에 직면했다""고 말했다."	3
6	7	The Undergraduate Awards are fiercely contested by thousands of students around the world and it is a great reflection of the quality of our students, and the education they receive here, that Dundee is so strongly represented amongst the prize winners.	b	“글로벌 대학생 어워드에서는 전세계 수천 명의 학생들이 치열하게 경쟁한다. 이 시상식은 본교 학생들의 자질과 그들이 받는 교육의 수준을 잘 반영하고 있다. 수상자들 중 우리 던디대학교가 아주 큰 비율을 차지한다.”	3	"""학부상은 전 세계 수천 명의 학생들이 치열한 경쟁을 벌이고 있으며, 그것은 우리 학생들의 질과 그들이 여기서 받는 교육의 훌륭한 반영이며, 던디는 수상자들 사이에서 매우 강하게 대표되고 있다."	2	"""전 세계 수천 명의 학생들이 치열한 경쟁을 벌이고 있는 이번 학부 시상식은 우리 학생들의 질과 그들이 이곳에서 받는 교육을 잘 반영하는 상으로, 수상자들 사이에서 던디가 매우 강력하게 대표되고 있습니다."	1
7	8	"I would like to offer my warmest congratulations to Scott, Chester and Lola on this fantastic achievement, alongside the other Dundee representatives who were highly commended."""	b	“이렇게 훌륭한 성과를 이뤄낸 스콧, 체스터, 롤라 학생에게 진심으로 축하의 말을 전하고, 높은 찬사를 받은 던디대학교 대표 학생들도 축하한다.”	1	"""나는 이 환상적인 업적에 대해 스콧, 체스터, 롤라에게 매우 칭찬받은 다른 던디 대표들과 함께 따뜻한 축하를 하고 싶다."""	3	"""저는 스콧, 체스터, 롤라에게 이 환상적인 성과에 대해 깊은 축하를 드리고 싶습니다. 그리고 다른 던디 대표들과 함께 높은 평가를 받았습니다."""	2
8	9	Another five students were commended in the world's leading undergraduate awards programme, which recognises top work completed by undergraduates to share this with a global audience.	b	다른 다섯 명의 학생들은 대학생 글로벌리더 어워즈 프로그램에서 찬사를 받았다. 이 프로그램은 재학생들이 각국의 청중들과 공유하기 위해 수행한 연구 업적을 인정 받는 자리이다.	1	또 다른 5명의 학생들은 세계적인 청중들과 이것을 공유하기 위해 학부생들이 완성한 최고의 작품을 인정하는 세계 최고의 학부 시상식 프로그램에서 칭찬을 받았다.	2	또 다른 5명의 학생은 세계 유수의 학부생 대상 프로그램에서 칭찬받았는데, 이 프로그램은 학부생들이 이를 통해 완성한 최고의 작품을 전 세계 청중과 공유하기 위한 것이다.	2
9	10	Included in the five praised students were Nicholas Gallagher and James Osbourne (both Life Sciences), Ferenc Kohsuke Ishikawa Gutai (Medicine), Caitlyn Scott (Anatomical Sciences) and Waco Yokoyama (Philosophy).	b	찬사를 받은 다섯 명의 학생은 생명과학과의 니콜라스 갤러거, 제임스 오스본, 약학과의 페렌츠 코스케 이시카와 구타이, 해부학과의 케이틀린 스캇, 철학과의 와코 요코야마이다.	1	칭찬받은 5명의 학생에는 니콜라스 갤러거와 제임스 오스본(생명과학 모두), 페렌크 고스케 이시카와 구타이(메디신), 케이틀린 스콧(해부과학), 와코 요코야마(철학) 등이 포함됐다.	2	니콜라스 갤러거와 제임스 오스본(생명과학), 이시카와 구타이 페렌츠 코스케(의학), 스콧 케이틀린(해부과학), 요코야마 와코(철학) 등 5명의 칭송받는 학생들이 포함됐다.	2
